,Date,NAV
1,2019-03-21,8.90
2,2019-03-20,8.93
3,2019-03-19,8.89
4,2019-03-18,8.90
5,2019-03-15,8.80
6,2019-03-14,8.74
7,2019-03-13,8.81
8,2019-03-12,8.74
9,2019-03-11,8.61
10,2019-03-08,8.54
11,2019-03-07,8.67
12,2019-03-06,8.89
13,2019-03-05,8.99
14,2019-03-04,8.94
15,2019-03-01,8.90
16,2019-02-28,8.98
17,2019-02-27,9.11
18,2019-02-26,9.19
19,2019-02-25,9.26
20,2019-02-22,9.12
21,2019-02-21,9.05
22,2019-02-20,9.19
23,2019-02-19,9.20
24,2019-02-15,9.11
25,2019-02-14,8.99
26,2019-02-13,8.92
27,2019-02-12,8.81
28,2019-02-11,8.72
29,2019-02-08,8.68
30,2019-02-07,8.74
31,2019-02-06,8.92
32,2019-02-05,8.93
33,2019-02-04,8.89
34,2019-02-01,8.89
35,2019-01-31,8.93
36,2019-01-30,8.92
37,2019-01-29,8.84
38,2019-01-28,8.82
39,2019-01-25,8.94
40,2019-01-24,8.86
41,2019-01-23,8.79
42,2019-01-22,8.81
43,2019-01-18,9.03
44,2019-01-17,8.84
45,2019-01-16,8.84
46,2019-01-15,8.83
47,2019-01-14,8.82
48,2019-01-11,8.87
49,2019-01-10,8.99
50,2019-01-09,9.06
51,2019-01-08,8.95
52,2019-01-07,8.82
53,2019-01-04,8.66
54,2019-01-03,8.27
55,2019-01-02,8.38
56,2018-12-31,8.22
57,2018-12-28,8.20
58,2018-12-27,8.16
59,2018-12-26,8.26
60,2018-12-24,8.05
61,2018-12-21,8.13
62,2018-12-20,8.28
63,2018-12-19,8.47
64,2018-12-18,8.60
65,2018-12-17,8.74
66,2018-12-14,8.98
67,2018-12-13,9.13
68,2018-12-12,9.19
69,2018-12-11,9.06
70,2018-12-10,9.02
71,2018-12-07,9.14
72,2018-12-06,9.18
73,2018-12-04,9.38
74,2018-12-03,9.75
75,2018-11-30,9.47
76,2018-11-29,9.64
77,2018-11-28,9.61
78,2018-11-27,9.47
79,2018-11-26,9.29
80,2018-11-23,8.99
81,2018-11-21,9.12
82,2018-11-20,8.95
83,2018-11-19,9.31
84,2018-11-16,9.41
85,2018-11-15,9.32
86,2018-11-14,9.28
87,2018-11-13,9.31
88,2018-11-12,9.36
89,2018-11-09,9.60
90,2018-11-08,9.71
91,2018-11-07,9.83
92,2018-11-06,9.81
93,2018-11-05,9.73
94,2018-11-02,9.72
95,2018-11-01,9.54
96,2018-10-31,9.28
97,2018-10-30,9.10
98,2018-10-29,9.02
99,2018-10-26,9.06
100,2018-10-25,9.10
101,2018-10-24,8.99
102,2018-10-23,9.26
103,2018-10-22,9.53
104,2018-10-19,9.53
105,2018-10-18,9.55
106,2018-10-17,9.75
107,2018-10-16,10.01
108,2018-10-15,9.78
109,2018-10-12,9.73
110,2018-10-11,9.60
111,2018-10-10,9.71
112,2018-10-09,10.07
113,2018-10-08,10.03
114,2018-10-05,10.03
115,2018-10-04,10.15
116,2018-10-03,10.28
117,2018-10-02,10.27
118,2018-10-01,10.31
119,2018-09-28,10.23
120,2018-09-27,10.19
121,2018-09-26,10.18
122,2018-09-25,10.32
123,2018-09-24,10.32
124,2018-09-21,10.35
125,2018-09-20,10.23
126,2018-09-19,10.20
127,2018-09-18,10.09
128,2018-09-17,9.91
129,2018-09-14,9.96
130,2018-09-13,9.94
131,2018-09-12,9.81
132,2018-09-11,9.75
133,2018-09-10,9.77
134,2018-09-07,9.76
135,2018-09-06,9.82
136,2018-09-05,9.81
137,2018-09-04,9.89
138,2018-08-31,10.14
139,2018-08-30,10.26
140,2018-08-29,10.32
141,2018-08-28,10.26
142,2018-08-27,10.16
143,2018-08-24,10.07
144,2018-08-23,10.00
145,2018-08-22,10.13
146,2018-08-21,9.97
147,2018-08-20,9.94
148,2018-08-17,9.79
149,2018-08-16,9.62
150,2018-08-15,9.55
151,2018-08-14,9.75
152,2018-08-13,9.75
153,2018-08-10,9.96
154,2018-08-09,10.15
155,2018-08-08,10.10
156,2018-08-07,9.96
157,2018-08-06,9.79
158,2018-08-03,9.92
159,2018-08-02,9.98
160,2018-08-01,10.04
161,2018-07-31,10.08
162,2018-07-30,9.94
163,2018-07-27,9.96
164,2018-07-26,9.97
165,2018-07-25,9.94
166,2018-07-24,9.87
167,2018-07-23,9.78
168,2018-07-20,9.87
169,2018-07-19,9.92
170,2018-07-18,9.84
171,2018-07-17,9.77
172,2018-07-16,9.74
173,2018-07-13,9.84
174,2018-07-12,9.86
175,2018-07-11,9.82
176,2018-07-10,10.06
177,2018-07-09,10.09
178,2018-07-06,10.02
179,2018-07-05,9.98
180,2018-07-03,10.03
181,2018-07-02,10.02
182,2018-06-29,10.12
183,2018-06-28,10.16
184,2018-06-27,10.21
185,2018-06-26,10.26
186,2018-06-25,10.29
187,2018-06-22,10.48
188,2018-06-21,10.41
189,2018-06-20,10.47
190,2018-06-19,10.41
191,2018-06-18,10.60
192,2018-06-15,10.67
193,2018-06-14,10.88
194,2018-06-13,10.85
195,2018-06-12,10.79
196,2018-06-11,10.86
197,2018-06-08,10.85
198,2018-06-07,10.94
199,2018-06-06,10.96
200,2018-06-05,10.98
201,2018-06-04,10.99
202,2018-06-01,10.84
203,2018-05-31,10.77
204,2018-05-30,11.07
205,2018-05-29,10.78
206,2018-05-25,10.86
207,2018-05-24,10.92
208,2018-05-23,11.03
209,2018-05-22,11.05
210,2018-05-21,10.94
211,2018-05-18,10.82
212,2018-05-17,10.90
213,2018-05-16,11.14
214,2018-05-15,11.13
215,2018-05-14,11.22
216,2018-05-11,11.28
217,2018-05-10,11.25
218,2018-05-09,11.20
219,2018-05-08,11.12
220,2018-05-07,10.95
221,2018-05-04,10.90
222,2018-05-03,10.77
223,2018-05-02,10.82
224,2018-05-01,10.78
225,2018-04-30,10.75
226,2018-04-27,10.68
227,2018-04-26,10.81
228,2018-04-25,10.76
229,2018-04-24,10.81
230,2018-04-23,10.89
231,2018-04-20,10.94
232,2018-04-19,10.82
233,2018-04-18,10.69
234,2018-04-17,10.58
235,2018-04-16,10.62
236,2018-04-13,10.57
237,2018-04-12,10.58
238,2018-04-11,10.60
239,2018-04-10,10.49
240,2018-04-09,10.27
241,2018-04-06,10.27
242,2018-04-05,10.44
243,2018-04-04,10.27
244,2018-04-03,10.31
245,2018-04-02,10.20
246,2018-03-29,10.33
247,2018-03-28,10.22
248,2018-03-27,10.25
249,2018-03-26,10.43
250,2018-03-23,10.29
251,2018-03-22,10.38
252,2018-03-21,10.58
253,2018-03-20,10.43
254,2018-03-19,10.57
255,2018-03-16,10.76
256,2018-03-15,10.58
257,2018-03-14,10.71
258,2018-03-13,10.72
259,2018-03-12,10.72
260,2018-03-09,10.60
261,2018-03-08,10.54
262,2018-03-07,10.56
263,2018-03-06,10.64
264,2018-03-05,10.52
265,2018-03-02,10.51
266,2018-03-01,10.50
267,2018-02-28,10.50
268,2018-02-27,10.75
269,2018-02-26,10.93
270,2018-02-23,10.91
271,2018-02-22,10.77
272,2018-02-21,10.89
273,2018-02-20,11.01
274,2018-02-16,11.14
275,2018-02-15,11.19
276,2018-02-14,11.16
277,2018-02-13,10.99
278,2018-02-12,11.07
279,2018-02-09,10.79
280,2018-02-08,10.78
281,2018-02-07,11.10
282,2018-02-06,11.20
283,2018-02-05,10.92
284,2018-02-02,11.25
285,2018-02-01,11.46
286,2018-01-31,11.47
287,2018-01-30,11.64
288,2018-01-29,11.90
289,2018-01-26,11.96
290,2018-01-25,11.96
291,2018-01-24,12.02
292,2018-01-23,11.99
293,2018-01-22,11.89
294,2018-01-19,11.78
295,2018-01-18,11.72
296,2018-01-17,11.75
297,2018-01-16,11.73
298,2018-01-12,11.84
299,2018-01-11,11.77
300,2018-01-10,11.56
301,2018-01-09,11.61
302,2018-01-08,11.70
303,2018-01-05,11.67
304,2018-01-04,11.72
305,2018-01-03,11.60
306,2018-01-02,11.56
307,2017-12-29,11.31
308,2017-12-28,11.28
309,2017-12-27,11.22
310,2017-12-26,11.17
311,2017-12-22,11.16
312,2017-12-21,11.12
313,2017-12-20,11.04
314,2017-12-19,11.01
315,2017-12-18,11.04
316,2017-12-15,10.87
317,2017-12-14,10.86
318,2017-12-13,10.85
319,2017-12-12,10.85
320,2017-12-11,10.80
321,2017-12-08,10.70
322,2017-12-07,10.71
323,2017-12-06,10.73
324,2017-12-05,10.90
325,2017-12-04,11.03
326,2017-12-01,10.97
327,2017-11-30,10.96
328,2017-11-29,10.95
329,2017-11-28,10.92
330,2017-11-27,10.88
331,2017-11-24,10.96
332,2017-11-22,10.84
333,2017-11-21,10.74
334,2017-11-20,10.74
335,2017-11-17,10.75
336,2017-11-16,10.71
337,2017-11-15,10.76
338,2017-11-14,10.78
339,2017-11-13,10.96
340,2017-11-10,11.11
341,2017-11-09,11.22
342,2017-11-08,11.25
343,2017-11-07,11.24
344,2017-11-06,11.42
345,2017-11-03,11.26
346,2017-11-02,11.31
347,2017-11-01,11.29
348,2017-10-31,11.26
349,2017-10-30,11.30
350,2017-10-27,11.22
351,2017-10-26,11.11
352,2017-10-25,11.10
353,2017-10-24,11.20
354,2017-10-23,11.22
355,2017-10-20,11.36
356,2017-10-19,11.38
357,2017-10-18,11.50
358,2017-10-17,11.47
359,2017-10-16,11.49
360,2017-10-13,11.43
361,2017-10-12,11.40
362,2017-10-11,11.37
363,2017-10-10,11.23
364,2017-10-09,11.18
365,2017-10-06,11.19
366,2017-10-05,11.28
367,2017-10-04,11.27
368,2017-10-03,11.37
369,2017-10-02,11.36
370,2017-09-29,11.32
371,2017-09-28,11.31
372,2017-09-27,11.29
373,2017-09-26,11.27
374,2017-09-25,11.26
375,2017-09-22,11.25
376,2017-09-21,11.22
377,2017-09-20,11.19
378,2017-09-19,11.18
379,2017-09-18,11.12
380,2017-09-15,11.08
381,2017-09-14,11.13
382,2017-09-13,11.09
383,2017-09-12,11.11
384,2017-09-11,11.12
385,2017-09-08,11.04
386,2017-09-07,11.14
387,2017-09-06,11.04
388,2017-09-05,11.01
389,2017-09-01,11.19
390,2017-08-31,11.20
391,2017-08-30,11.10
392,2017-08-29,11.23
393,2017-08-28,11.27
394,2017-08-25,11.29
395,2017-08-24,11.20
396,2017-08-23,11.25
397,2017-08-22,11.14
398,2017-08-21,10.97
399,2017-08-18,10.97
400,2017-08-17,11.00
401,2017-08-16,11.19
402,2017-08-15,11.17
403,2017-08-14,11.34
404,2017-08-11,11.21
405,2017-08-10,11.23
406,2017-08-09,11.45
407,2017-08-08,11.48
408,2017-08-07,11.58
409,2017-08-04,11.61
410,2017-08-03,11.52
411,2017-08-02,11.76
412,2017-08-01,11.81
413,2017-07-31,11.81
414,2017-07-28,11.78
415,2017-07-27,11.73
416,2017-07-26,11.68
417,2017-07-25,11.74
418,2017-07-24,11.63
419,2017-07-21,11.60
420,2017-07-20,11.74
421,2017-07-19,11.77
422,2017-07-18,11.70
423,2017-07-17,11.68
424,2017-07-14,11.61
425,2017-07-13,11.55
426,2017-07-12,11.49
427,2017-07-11,11.41
428,2017-07-10,11.33
429,2017-07-07,11.15
430,2017-07-06,11.28
431,2017-07-05,11.33
432,2017-07-03,11.52
433,2017-06-30,11.17
434,2017-06-29,11.12
435,2017-06-28,11.02
436,2017-06-27,10.82
437,2017-06-26,10.81
438,2017-06-23,10.72
439,2017-06-22,10.58
440,2017-06-21,10.44
441,2017-06-20,10.45
442,2017-06-19,10.61
443,2017-06-16,10.65
444,2017-06-15,10.50
445,2017-06-14,10.72
446,2017-06-13,10.88
447,2017-06-12,10.80
448,2017-06-09,10.68
449,2017-06-08,10.68
450,2017-06-07,10.68
451,2017-06-06,10.80
452,2017-06-05,10.87
453,2017-06-02,10.93
454,2017-06-01,10.93
455,2017-05-31,10.71
456,2017-05-30,10.75
457,2017-05-26,10.90
458,2017-05-25,10.95
459,2017-05-24,10.99
460,2017-05-23,11.12
461,2017-05-22,11.15
462,2017-05-19,11.04
463,2017-05-18,10.91
464,2017-05-17,10.97
465,2017-05-16,11.13
466,2017-05-15,11.18
467,2017-05-12,11.06
468,2017-05-11,11.05
469,2017-05-10,11.05
470,2017-05-09,10.95
471,2017-05-08,10.99
472,2017-05-05,11.07
473,2017-05-04,10.96
474,2017-05-03,11.05
475,2017-05-02,11.22
476,2017-05-01,11.25
477,2017-04-28,11.27
478,2017-04-27,11.29
479,2017-04-26,11.35
480,2017-04-25,11.34
481,2017-04-24,11.22
482,2017-04-21,11.09
483,2017-04-20,11.13
484,2017-04-19,11.11
485,2017-04-18,11.27
486,2017-04-17,11.31
487,2017-04-13,11.25
488,2017-04-12,11.32
489,2017-04-11,11.45
490,2017-04-10,11.41
491,2017-04-07,11.23
492,2017-04-06,11.22
493,2017-04-05,11.20
494,2017-04-04,11.28
495,2017-04-03,11.39
496,2017-03-31,11.45
497,2017-03-30,11.48
498,2017-03-29,11.34
499,2017-03-28,11.30
500,2017-03-27,11.17
501,2017-03-24,11.29
502,2017-03-23,11.25
503,2017-03-22,11.26
504,2017-03-21,11.37
505,2017-03-20,11.65
506,2017-03-17,11.72
507,2017-03-16,11.65
508,2017-03-15,11.52
509,2017-03-14,11.33
510,2017-03-13,11.50
511,2017-03-10,11.45
512,2017-03-09,11.37
513,2017-03-08,11.46
514,2017-03-07,11.50
515,2017-03-06,11.60
516,2017-03-03,11.56
517,2017-03-02,11.50
518,2017-03-01,11.60
519,2017-02-28,11.38
520,2017-02-27,11.39
521,2017-02-24,11.37
522,2017-02-23,11.55
523,2017-02-22,11.54
524,2017-02-21,11.65
525,2017-02-17,11.51
526,2017-02-16,11.57
527,2017-02-15,11.62
528,2017-02-14,11.59
529,2017-02-13,11.54
530,2017-02-10,11.40
531,2017-02-09,11.24
532,2017-02-08,11.07
533,2017-02-07,11.26
534,2017-02-06,11.31
535,2017-02-03,11.32
536,2017-02-02,11.16
537,2017-02-01,11.39
538,2017-01-31,11.34
539,2017-01-30,11.34
540,2017-01-27,11.51
541,2017-01-26,11.60
542,2017-01-25,11.66
543,2017-01-24,11.58
544,2017-01-23,11.48
545,2017-01-20,11.51
546,2017-01-19,11.35
547,2017-01-18,11.27
548,2017-01-17,11.27
549,2017-01-13,11.27
550,2017-01-12,11.23
551,2017-01-11,11.16
552,2017-01-10,11.00
553,2017-01-09,11.10
554,2017-01-06,11.21
555,2017-01-05,11.18
556,2017-01-04,11.07
557,2017-01-03,10.88
558,2016-12-30,10.59
559,2016-12-29,10.65
560,2016-12-28,10.63
561,2016-12-27,10.66
562,2016-12-23,10.62
563,2016-12-22,10.62
564,2016-12-21,10.71
565,2016-12-20,10.60
566,2016-12-19,10.56
567,2016-12-16,10.67
568,2016-12-15,10.67
569,2016-12-14,10.56
570,2016-12-13,10.74
571,2016-12-12,10.61
572,2016-12-09,10.85
573,2016-12-08,10.85
574,2016-12-07,10.66
575,2016-12-06,10.55
576,2016-12-05,10.40
577,2016-12-02,10.23
578,2016-12-01,10.05
579,2016-11-30,9.98
580,2016-11-29,9.90
581,2016-11-28,9.91
582,2016-11-25,10.04
583,2016-11-23,10.11
584,2016-11-22,10.13
585,2016-11-21,10.12
586,2016-11-18,9.89
587,2016-11-17,9.86
588,2016-11-16,9.96
589,2016-11-15,9.95
590,2016-11-14,9.89
591,2016-11-11,9.73
592,2016-11-10,9.85
593,2016-11-09,9.70
594,2016-11-08,9.70
595,2016-11-07,9.85
596,2016-11-04,9.69
597,2016-11-03,9.76
598,2016-11-02,9.77
599,2016-11-01,10.15
600,2016-10-31,10.33
601,2016-10-28,10.37
602,2016-10-27,10.55
603,2016-10-26,10.57
604,2016-10-25,10.64
605,2016-10-24,10.74
606,2016-10-21,10.65
607,2016-10-20,10.69
608,2016-10-19,10.62
609,2016-10-18,10.51
610,2016-10-17,10.45
611,2016-10-14,10.50
612,2016-10-13,10.46
613,2016-10-12,10.59
614,2016-10-11,10.69
615,2016-10-10,10.78
616,2016-10-07,10.67
617,2016-10-06,10.77
618,2016-10-05,10.64
619,2016-10-04,10.50
620,2016-10-03,10.49
621,2016-09-30,10.56
622,2016-09-29,10.44
623,2016-09-28,10.48
624,2016-09-27,10.28
625,2016-09-26,10.34
626,2016-09-23,10.45
627,2016-09-22,10.59
628,2016-09-21,10.44
629,2016-09-20,10.27
630,2016-09-19,10.28
631,2016-09-16,10.23
632,2016-09-15,10.31
633,2016-09-14,10.27
634,2016-09-13,10.38
635,2016-09-12,10.62
636,2016-09-09,10.64
637,2016-09-08,10.80
638,2016-09-07,10.64
639,2016-09-06,10.56
640,2016-09-02,10.45
641,2016-09-01,10.35
642,2016-08-31,10.27
643,2016-08-30,10.33
644,2016-08-29,10.27
645,2016-08-26,10.16
