,Date,NAV
1,2019/3/21,66.38
2,2019/3/20,65.95
3,2019/3/19,66.05
4,2019/3/18,65.87
5,2019/3/15,65.75
6,2019/3/14,65.48
7,2019/3/13,65.45
8,2019/3/12,64.9
9,2019/3/11,64.78
10,2019/3/8,64.15
11,2019/3/7,64.1
12,2019/3/6,64.73
13,2019/3/5,64.91
14,2019/3/4,65.01
15,2019/3/1,65.32
16,2019/2/28,64.86
17,2019/2/27,65.02
18,2019/2/26,65.13
19,2019/2/25,65.1
20,2019/2/22,64.84
21,2019/2/21,64.53
22,2019/2/20,64.76
23,2019/2/19,64.7
24,2019/2/15,64.32
25,2019/2/14,63.64
26,2019/2/13,63.7
27,2019/2/12,63.69
28,2019/2/11,62.89
29,2019/2/8,62.9
30,2019/2/7,62.7
31,2019/2/6,63.59
32,2019/2/5,63.97
33,2019/2/4,63.45
34,2019/2/1,62.98
35,2019/1/31,63.02
36,2019/1/30,62.55
37,2019/1/29,62.3
38,2019/1/28,61.7
39,2019/1/25,62.05
40,2019/1/24,61.55
41,2019/1/23,61.42
42,2019/1/22,61.11
43,2019/1/18,62.08
44,2019/1/17,61.36
45,2019/1/16,60.95
46,2019/1/15,60.84
47,2019/1/14,60.38
48,2019/1/11,60.68
49,2019/1/10,60.75
50,2019/1/9,60.53
51,2019/1/8,60.09
52,2019/1/7,59.56
53,2019/1/4,59.16
54,2019/1/3,57.34
55,2019/1/2,58.77
56,2018/12/31,58.1
57,2018/12/28,57.94
58,2018/12/27,57.8
59,2018/12/26,57.11
60,2018/12/24,55.44
61,2018/12/21,56.47
62,2018/12/20,57.3
63,2018/12/19,58.49
64,2018/12/18,59.2
65,2018/12/17,59.17
66,2018/12/14,60
67,2018/12/13,60.96
68,2018/12/12,61.45
69,2018/12/11,61.04
70,2018/12/10,60.42
71,2018/12/7,60.59
72,2018/12/6,61.02
73,2018/12/4,63
74,2018/12/3,64.09
75,2018/11/30,62.76
76,2018/11/29,63.22
77,2018/11/28,63.22
78,2018/11/27,61.67
79,2018/11/26,62.3
80,2018/11/23,60.84
81,2018/11/21,61.58
82,2018/11/20,61.09
83,2018/11/19,61.78
84,2018/11/16,62.75
85,2018/11/15,62.99
86,2018/11/14,62.19
87,2018/11/13,62.77
88,2018/11/12,63.6
89,2018/11/9,63.6
90,2018/11/8,63.93
91,2018/11/7,64.31
92,2018/11/6,62.94
93,2018/11/5,62.67
94,2018/11/2,63.16
95,2018/11/1,62.63
96,2018/10/31,62.23
97,2018/10/30,61.9
98,2018/10/29,60.61
99,2018/10/26,61.48
100,2018/10/25,62.22
101,2018/10/24,61.34
102,2018/10/23,62.96
103,2018/10/22,63.45
104,2018/10/19,63.51
105,2018/10/18,63.64
106,2018/10/17,64.5
107,2018/10/16,64.47
108,2018/10/15,63.33
109,2018/10/12,63.78
110,2018/10/11,63.51
111,2018/10/10,63.95
112,2018/10/9,65.87
113,2018/10/8,65.96
114,2018/10/5,66.45
115,2018/10/4,66.57
116,2018/10/3,67.26
117,2018/10/2,67.32
118,2018/10/1,67.24
119,2018/9/28,66.98
120,2018/9/27,67.57
121,2018/9/26,67.77
122,2018/9/25,67.4
123,2018/9/24,67.46
124,2018/9/21,67.7
125,2018/9/20,67.95
126,2018/9/19,67.01
127,2018/9/18,67.12
128,2018/9/17,66.51
129,2018/9/14,66.73
130,2018/9/13,66.73
131,2018/9/12,66.31
132,2018/9/11,66.22
133,2018/9/10,66.18
134,2018/9/7,65.82
135,2018/9/6,66.03
136,2018/9/5,66.27
137,2018/9/4,66.26
138,2018/8/31,66.86
139,2018/8/30,67.28
140,2018/8/29,67.47
141,2018/8/28,67.51
142,2018/8/27,66.08
143,2018/8/24,66.08
144,2018/8/23,66.08
145,2018/8/22,66.33
146,2018/8/21,66.31
147,2018/8/20,66.1
148,2018/8/17,65.83
149,2018/8/16,65.3
150,2018/8/15,65.06
151,2018/8/14,65.56
152,2018/8/13,65.53
153,2018/8/10,65.45
154,2018/8/9,66.44
155,2018/8/8,66.3
156,2018/8/7,66.46
157,2018/8/6,66.09
158,2018/8/3,65.86
159,2018/8/2,65.86
160,2018/8/1,65.82
161,2018/7/31,65.82
162,2018/7/30,65.49
163,2018/7/27,65.89
164,2018/7/26,66.04
165,2018/7/25,66.28
166,2018/7/24,65.74
167,2018/7/23,65.55
168,2018/7/20,65.58
169,2018/7/19,65.58
170,2018/7/18,65.63
171,2018/7/17,65.37
172,2018/7/16,65.37
173,2018/7/13,65.35
174,2018/7/12,65.3
175,2018/7/11,64.82
176,2018/7/10,65.34
177,2018/7/9,65.14
178,2018/7/6,64.52
179,2018/7/5,64.17
180,2018/7/3,63.47
181,2018/7/2,63.61
182,2018/6/29,63.74
183,2018/6/28,63.43
184,2018/6/27,63.32
185,2018/6/26,63.67
186,2018/6/25,63.39
187,2018/6/22,64.32
188,2018/6/21,64.41
189,2018/6/20,64.5
190,2018/6/19,64.5
191,2018/6/18,64.85
192,2018/6/15,65.03
193,2018/6/14,65.28
194,2018/6/13,65.17
195,2018/6/12,65.43
196,2018/6/11,65.39
197,2018/6/8,65.14
198,2018/6/7,65.18
199,2018/6/6,64.55
200,2018/6/5,64.54
201,2018/6/4,64.54
202,2018/6/1,64.08
203,2018/5/31,63.59
204,2018/5/30,63.59
205,2018/5/29,63.09
206,2018/5/25,64.16
207,2018/5/24,64.4
208,2018/5/23,64.4
209,2018/5/22,64.78
210,2018/5/21,64.83
211,2018/5/18,64.45
212,2018/5/17,64.33
213,2018/5/16,64.6
214,2018/5/15,64.35
215,2018/5/14,64.9
216,2018/5/11,64.91
217,2018/5/10,64.46
218,2018/5/9,63.97
219,2018/5/8,63.38
220,2018/5/7,63.97
221,2018/5/4,63.38
222,2018/5/3,62.86
223,2018/5/2,62.86
224,2018/5/1,63.35
225,2018/4/30,63.35
226,2018/4/27,63.75
227,2018/4/26,62.61
228,2018/4/25,62.61
229,2018/4/24,62.95
230,2018/4/23,63.61
231,2018/4/20,63.53
232,2018/4/19,63.91
233,2018/4/18,64.84
234,2018/4/17,64.39
235,2018/4/16,63.79
236,2018/4/13,63.7
237,2018/4/12,63.68
238,2018/4/11,63.47
239,2018/4/10,63.43
240,2018/4/9,62.97
241,2018/4/6,62.14
242,2018/4/5,63.29
243,2018/4/4,62.36
244,2018/4/3,62.36
245,2018/4/2,61.65
246,2018/3/29,63.01
