,Date,NAV
1,2019-03-21,37.45
2,2019-03-20,37.49
3,2019-03-19,37.41
4,2019-03-18,37.32
5,2019-03-15,36.99
6,2019-03-14,36.31
7,2019-03-13,36.32
8,2019-03-12,35.72
9,2019-03-11,35.75
10,2019-03-08,35.20
11,2019-03-07,35.22
12,2019-03-06,36.12
13,2019-03-05,36.38
14,2019-03-04,36.34
15,2019-03-01,36.50
16,2019-02-28,36.11
17,2019-02-27,36.28
18,2019-02-26,36.58
19,2019-02-25,36.17
20,2019-02-22,35.99
21,2019-02-21,35.73
22,2019-02-20,36.07
23,2019-02-19,35.75
24,2019-02-15,35.38
25,2019-02-14,34.52
26,2019-02-13,34.61
27,2019-02-12,34.41
28,2019-02-11,33.69
29,2019-02-08,33.74
30,2019-02-07,33.99
31,2019-02-06,34.95
32,2019-02-05,35.30
33,2019-02-04,34.77
34,2019-02-01,34.63
35,2019-01-31,34.66
36,2019-01-30,34.60
37,2019-01-29,33.95
38,2019-01-28,33.74
39,2019-01-25,33.99
40,2019-01-24,33.37
41,2019-01-23,33.20
42,2019-01-22,32.91
43,2019-01-18,33.92
44,2019-01-17,33.15
45,2019-01-16,33.15
46,2019-01-15,32.80
47,2019-01-14,32.61
48,2019-01-11,32.91
49,2019-01-10,33.35
50,2019-01-09,33.08
51,2019-01-08,32.40
52,2019-01-07,32.07
53,2019-01-04,31.83
54,2019-01-03,30.01
55,2019-01-02,30.39
56,2018-12-31,30.48
57,2018-12-28,30.56
58,2018-12-27,29.97
59,2018-12-26,30.10
60,2018-12-24,28.82
61,2018-12-21,29.48
62,2018-12-20,30.50
63,2018-12-19,30.81
64,2018-12-18,31.43
65,2018-12-17,31.12
66,2018-12-14,31.87
67,2018-12-13,32.83
68,2018-12-12,32.91
69,2018-12-11,31.85
70,2018-12-10,31.78
71,2018-12-07,32.56
72,2018-12-06,32.31
73,2018-12-04,33.55
74,2018-12-03,35.24
75,2018-11-30,34.74
76,2018-11-29,34.74
77,2018-11-28,35.06
78,2018-11-27,34.48
79,2018-11-26,34.48
80,2018-11-23,33.73
81,2018-11-21,34.03
82,2018-11-20,34.08
83,2018-11-19,34.08
84,2018-11-16,34.65
85,2018-11-15,34.21
86,2018-11-14,34.83
87,2018-11-13,34.80
88,2018-11-12,34.45
89,2018-11-09,35.07
90,2018-11-08,35.77
91,2018-11-07,36.10
92,2018-11-06,35.31
93,2018-11-05,35.31
94,2018-11-02,35.28
95,2018-11-01,35.05
96,2018-10-31,33.28
97,2018-10-30,33.28
98,2018-10-29,33.10
99,2018-10-26,33.15
100,2018-10-25,33.39
101,2018-10-24,32.94
102,2018-10-23,36.72
103,2018-10-22,36.72
104,2018-10-19,36.72
105,2018-10-18,36.72
106,2018-10-17,36.72
107,2018-10-16,37.02
108,2018-10-15,36.08
109,2018-10-12,36.05
110,2018-10-11,36.04
111,2018-10-10,38.17
112,2018-10-09,38.17
113,2018-10-08,38.51
114,2018-10-05,39.35
115,2018-10-04,39.53
116,2018-10-03,40.69
117,2018-10-02,40.69
118,2018-10-01,41.03
119,2018-09-28,40.96
120,2018-09-27,41.80
121,2018-09-26,42.20
122,2018-09-25,41.83
123,2018-09-24,41.51
124,2018-09-21,41.87
125,2018-09-20,41.82
126,2018-09-19,40.75
127,2018-09-18,40.57
128,2018-09-17,39.80
129,2018-09-14,39.65
130,2018-09-13,39.56
131,2018-09-12,38.54
132,2018-09-11,38.54
133,2018-09-10,38.54
134,2018-09-07,38.05
135,2018-09-06,38.72
136,2018-09-05,38.98
137,2018-09-04,39.61
138,2018-08-31,40.37
139,2018-08-30,41.00
140,2018-08-29,41.78
141,2018-08-28,41.65
142,2018-08-27,41.45
143,2018-08-24,40.46
144,2018-08-23,40.58
145,2018-08-22,40.58
146,2018-08-21,40.35
147,2018-08-20,39.40
148,2018-08-17,39.40
149,2018-08-16,38.98
150,2018-08-15,37.99
151,2018-08-14,39.47
152,2018-08-13,39.53
153,2018-08-10,41.71
154,2018-08-09,41.71
155,2018-08-08,41.71
156,2018-08-07,41.71
157,2018-08-06,41.07
158,2018-08-03,41.51
159,2018-08-02,41.39
160,2018-08-01,42.06
161,2018-07-31,42.46
162,2018-07-30,42.73
163,2018-07-27,42.47
164,2018-07-26,42.23
165,2018-07-25,42.30
166,2018-07-24,41.27
167,2018-07-23,41.27
168,2018-07-20,41.27
169,2018-07-19,41.27
170,2018-07-18,41.27
171,2018-07-17,41.27
172,2018-07-16,41.04
173,2018-07-13,40.83
174,2018-07-12,40.83
175,2018-07-11,41.14
176,2018-07-10,41.14
177,2018-07-09,41.14
178,2018-07-06,41.14
179,2018-07-05,40.42
180,2018-07-03,40.06
181,2018-07-02,39.46
182,2018-06-29,40.26
183,2018-06-28,40.35
184,2018-06-27,40.35
185,2018-06-26,40.35
186,2018-06-25,40.27
187,2018-06-22,41.51
188,2018-06-21,40.79
189,2018-06-20,41.03
190,2018-06-19,41.04
191,2018-06-18,42.43
