,Date,NAV
1,2019-03-20,24.12
2,2019-03-19,24.11
3,2019-03-18,24.21
4,2019-03-15,24.41
5,2019-03-14,24.91
6,2019-03-13,24.89
7,2019-03-12,25.37
8,2019-03-11,25.32
9,2019-03-08,25.79
10,2019-03-07,25.72
11,2019-03-06,25.05
12,2019-03-05,24.89
13,2019-03-04,25.03
14,2019-03-01,24.86
15,2019-02-28,25.10
16,2019-02-27,24.99
17,2019-02-26,24.76
18,2019-02-25,25.03
19,2019-02-22,25.21
20,2019-02-21,25.39
21,2019-02-20,25.27
22,2019-02-19,25.35
23,2019-02-15,25.63
24,2019-02-14,26.29
25,2019-02-13,26.28
26,2019-02-12,26.35
27,2019-02-11,27.03
28,2019-02-08,26.96
29,2019-02-07,26.69
30,2019-02-06,26.04
31,2019-02-05,25.78
32,2019-02-04,26.15
33,2019-02-01,26.39
34,2019-01-31,26.32
35,2019-01-30,26.33
36,2019-01-29,26.87
37,2019-01-28,26.98
38,2019-01-25,26.83
39,2019-01-24,27.35
40,2019-01-23,27.39
41,2019-01-22,27.65
42,2019-01-18,26.83
43,2019-01-17,27.46
44,2019-01-16,27.58
45,2019-01-15,27.76
46,2019-01-14,27.98
47,2019-01-11,27.76
48,2019-01-10,27.40
49,2019-01-09,27.65
50,2019-01-08,28.17
51,2019-01-07,28.61
52,2019-01-04,28.73
53,2019-01-03,30.59
54,2019-01-02,30.23
55,2018-12-31,30.05
56,2018-12-28,30.07
57,2018-12-27,30.40
58,2018-12-26,30.45
59,2018-12-24,31.98
60,2018-12-21,31.21
61,2018-12-20,30.23
62,2018-12-19,30.01
63,2018-12-18,29.46
64,2018-12-17,29.41
65,2018-12-14,28.96
66,2018-12-13,28.19
67,2018-12-12,28.11
68,2018-12-11,29.05
69,2018-12-10,29.21
70,2018-12-07,28.71
71,2018-12-06,28.12
72,2018-12-04,27.55
73,2018-12-03,26.33
74,2018-11-30,26.97
75,2018-11-29,26.74
76,2018-11-28,26.42
77,2018-11-27,27.20
78,2018-11-26,26.99
79,2018-11-23,27.81
80,2018-11-21,27.45
81,2018-11-20,28.28
82,2018-11-19,27.41
83,2018-11-16,26.93
84,2018-11-15,26.99
85,2018-11-14,26.74
86,2018-11-13,27.20
87,2018-11-12,27.33
88,2018-11-09,26.48
89,2018-11-08,26.12
90,2018-11-07,25.54
91,2018-11-06,26.56
92,2018-11-05,26.49
93,2018-11-02,26.52
94,2018-11-01,26.68
95,2018-10-31,27.21
96,2018-10-30,27.66
97,2018-10-29,28.45
98,2018-10-26,28.24
99,2018-10-25,27.89
100,2018-10-24,28.60
101,2018-10-23,27.05
102,2018-10-22,26.31
103,2018-10-19,26.66
104,2018-10-18,26.66
105,2018-10-17,25.56
106,2018-10-16,25.49
107,2018-10-15,26.24
108,2018-10-12,26.23
109,2018-10-11,25.91
110,2018-10-10,25.49
111,2018-10-09,24.69
112,2018-10-08,24.39
113,2018-10-05,24.39
114,2018-10-04,23.96
115,2018-10-03,23.36
116,2018-10-02,23.36
117,2018-10-01,23.09
118,2018-09-28,23.15
119,2018-09-27,22.64
120,2018-09-26,22.64
121,2018-09-25,22.68
122,2018-09-24,22.88
123,2018-09-21,22.85
124,2018-09-20,22.85
125,2018-09-19,23.25
126,2018-09-18,23.89
127,2018-09-17,23.89
128,2018-09-14,23.89
129,2018-09-13,24.02
130,2018-09-12,24.41
131,2018-09-11,24.66
132,2018-09-10,24.66
133,2018-09-07,25.06
134,2018-09-06,24.61
135,2018-09-05,24.10
136,2018-09-04,24.10
137,2018-08-31,23.63
138,2018-08-30,23.17
139,2018-08-29,22.85
140,2018-08-28,22.93
141,2018-08-27,22.97
142,2018-08-24,23.46
143,2018-08-23,23.46
144,2018-08-22,23.46
145,2018-08-21,23.69
146,2018-08-20,23.98
147,2018-08-17,24.61
148,2018-08-16,24.49
149,2018-08-15,24.91
150,2018-08-14,24.14
151,2018-08-13,22.92
152,2018-08-10,22.92
153,2018-08-09,22.92
154,2018-08-08,22.92
155,2018-08-07,23.32
156,2018-08-06,23.32
157,2018-08-03,23.27
158,2018-08-02,23.16
159,2018-08-01,22.61
160,2018-07-31,22.61
161,2018-07-30,22.71
162,2018-07-27,22.71
163,2018-07-26,22.71
164,2018-07-25,22.71
165,2018-07-24,22.86
166,2018-07-23,23.07
167,2018-07-20,23.31
168,2018-07-19,23.31
169,2018-07-18,23.18
170,2018-07-17,23.19
171,2018-07-16,23.36
172,2018-07-13,23.36
173,2018-07-12,23.36
174,2018-07-11,22.98
175,2018-07-10,22.98
176,2018-07-09,22.97
177,2018-07-06,23.32
178,2018-07-05,24.24
179,2018-07-03,24.24
180,2018-07-02,24.24
181,2018-06-29,23.78
182,2018-06-28,24.06
183,2018-06-27,23.74
184,2018-06-26,23.98
185,2018-06-25,24.02
186,2018-06-22,23.03
187,2018-06-21,23.71
188,2018-06-20,23.47
189,2018-06-19,23.36
190,2018-06-18,22.80
191,2018-06-15,22.80
192,2018-06-14,22.46
193,2018-06-13,22.03
194,2018-06-12,22.03
195,2018-06-11,22.03
196,2018-06-08,22.52
197,2018-06-07,22.27
198,2018-06-06,22.27
199,2018-06-05,22.65
200,2018-06-04,22.42
201,2018-06-01,22.75
202,2018-05-31,23.06
203,2018-05-30,22.79
204,2018-05-29,23.63
205,2018-05-25,22.62
206,2018-05-24,22.35
207,2018-05-23,21.37
208,2018-05-22,21.37
209,2018-05-21,21.37
210,2018-05-18,21.37
211,2018-05-17,21.37
212,2018-05-16,21.37
213,2018-05-15,21.37
214,2018-05-14,21.37
215,2018-05-11,21.49
216,2018-05-10,21.73
217,2018-05-09,22.05
218,2018-05-08,22.05
219,2018-05-07,22.05
220,2018-05-04,22.03
221,2018-05-03,22.03
222,2018-05-02,22.03
223,2018-05-01,22.03
224,2018-04-30,22.03
225,2018-04-27,22.03
226,2018-04-26,22.03
227,2018-04-25,22.03
228,2018-04-24,22.03
229,2018-04-23,22.07
230,2018-04-20,21.86
231,2018-04-19,21.86
232,2018-04-18,21.93
233,2018-04-17,21.93
234,2018-04-16,22.08
235,2018-04-13,22.08
236,2018-04-12,22.08
237,2018-04-11,22.08
238,2018-04-10,22.19
239,2018-04-09,22.67
240,2018-04-06,22.65
241,2018-04-05,22.65
242,2018-04-04,23.27
243,2018-04-03,23.18
244,2018-04-02,23.53
245,2018-03-29,22.92
246,2018-03-28,23.32
247,2018-03-27,23.16
248,2018-03-26,23.62
249,2018-03-23,24.10
250,2018-03-22,23.48
251,2018-03-21,22.65
252,2018-03-20,22.74
253,2018-03-19,22.65
254,2018-03-16,22.31
255,2018-03-15,22.41
256,2018-03-14,22.46
257,2018-03-13,22.45
258,2018-03-12,22.08
259,2018-03-09,22.16
260,2018-03-08,22.57
261,2018-03-07,22.75
262,2018-03-06,22.61
263,2018-03-05,22.75
264,2018-03-02,23.26
265,2018-03-01,23.30
266,2018-02-28,22.51
267,2018-02-27,22.05
268,2018-02-26,21.53
269,2018-02-23,21.90
270,2018-02-22,22.04
271,2018-02-21,22.41
272,2018-02-20,22.30
273,2018-02-16,21.77
274,2018-02-15,22.08
275,2018-02-14,22.27
276,2018-02-13,23.13
277,2018-02-12,23.16
278,2018-02-09,23.65
279,2018-02-08,23.92
280,2018-02-07,22.75
281,2018-02-06,22.13
282,2018-02-05,23.20
283,2018-02-02,21.41
284,2018-02-01,20.47
285,2018-01-31,20.64
286,2018-01-30,20.56
287,2018-01-29,20.22
288,2018-01-26,19.83
289,2018-01-25,20.19
290,2018-01-24,20.01
291,2018-01-23,20.15
292,2018-01-22,20.39
293,2018-01-19,20.65
294,2018-01-18,20.83
295,2018-01-17,20.57
296,2018-01-16,20.91
297,2018-01-12,20.91
298,2018-01-11,21.46
299,2018-01-10,21.46
300,2018-01-09,21.46
301,2018-01-08,21.69
302,2018-01-05,21.69
303,2018-01-04,22.44
304,2018-01-03,22.44
305,2018-01-02,22.44
306,2017-12-29,22.71
307,2017-12-28,22.79
308,2017-12-27,22.90
309,2017-12-26,22.90
310,2017-12-22,22.90
311,2017-12-21,23.18
312,2017-12-20,23.18
313,2017-12-19,23.09
314,2017-12-18,23.40
315,2017-12-15,23.40
316,2017-12-14,23.26
317,2017-12-13,23.26
318,2017-12-12,23.42
319,2017-12-11,23.42
320,2017-12-08,23.63
321,2017-12-07,23.89
322,2017-12-06,23.88
323,2017-12-05,23.78
324,2017-12-04,23.77
325,2017-12-01,23.36
326,2017-11-30,23.36
327,2017-11-29,23.36
328,2017-11-28,23.36
329,2017-11-27,23.44
330,2017-11-24,23.26
331,2017-11-22,23.71
332,2017-11-21,23.81
333,2017-11-20,24.01
334,2017-11-17,24.17
335,2017-11-16,24.06
336,2017-11-15,24.44
337,2017-11-14,24.23
338,2017-11-13,24.22
339,2017-11-10,23.95
340,2017-11-09,24.02
341,2017-11-08,23.68
342,2017-11-07,23.68
343,2017-11-06,23.51
344,2017-11-03,23.59
345,2017-11-02,23.52
346,2017-11-01,23.71
347,2017-10-31,23.71
348,2017-10-30,23.92
349,2017-10-27,24.07
350,2017-10-26,24.12
351,2017-10-25,24.19
352,2017-10-24,23.93
353,2017-10-23,23.98
354,2017-10-20,24.54
355,2017-10-19,24.54
356,2017-10-18,24.54
357,2017-10-17,24.54
358,2017-10-16,24.54
359,2017-10-13,24.54
360,2017-10-12,24.54
361,2017-10-11,24.54
362,2017-10-10,24.54
363,2017-10-09,24.54
364,2017-10-06,24.54
365,2017-10-05,24.54
366,2017-10-04,24.54
367,2017-10-03,24.54
368,2017-10-02,24.54
369,2017-09-29,24.54
370,2017-09-28,24.54
371,2017-09-27,24.54
372,2017-09-26,24.54
373,2017-09-25,24.54
374,2017-09-22,24.54
375,2017-09-21,24.54
376,2017-09-20,24.54
377,2017-09-19,24.46
378,2017-09-18,24.56
379,2017-09-15,24.73
380,2017-09-14,24.73
381,2017-09-13,24.73
382,2017-09-12,24.73
383,2017-09-11,24.73
384,2017-09-08,25.14
385,2017-09-07,25.17
386,2017-09-06,25.65
387,2017-09-05,25.43
388,2017-09-01,25.43
389,2017-08-31,25.63
390,2017-08-30,25.92
391,2017-08-29,25.92
392,2017-08-28,25.74
393,2017-08-25,25.74
394,2017-08-24,26.12
395,2017-08-23,26.12
396,2017-08-22,26.12
397,2017-08-21,26.12
398,2017-08-18,26.12
399,2017-08-17,26.29
400,2017-08-16,26.09
401,2017-08-15,26.09
402,2017-08-14,25.92
403,2017-08-11,26.34
404,2017-08-10,26.16
405,2017-08-09,25.75
406,2017-08-08,25.13
407,2017-08-07,25.13
408,2017-08-04,25.13
409,2017-08-03,25.13
410,2017-08-02,25.74
411,2017-08-01,25.74
412,2017-07-31,25.74
413,2017-07-28,25.74
414,2017-07-27,25.81
415,2017-07-26,25.97
416,2017-07-25,25.97
417,2017-07-24,26.01
418,2017-07-21,25.85
419,2017-07-20,25.70
420,2017-07-19,26.26
421,2017-07-18,26.26
422,2017-07-17,26.26
423,2017-07-14,26.21
424,2017-07-13,26.46
425,2017-07-12,27.28
426,2017-07-11,27.28
427,2017-07-10,27.28
428,2017-07-07,27.28
429,2017-07-06,27.17
430,2017-07-05,27.17
431,2017-07-03,27.17
432,2017-06-30,27.05
433,2017-06-29,26.57
434,2017-06-28,26.57
435,2017-06-27,26.91
436,2017-06-26,27.04
437,2017-06-23,27.04
438,2017-06-22,27.12
439,2017-06-21,26.92
440,2017-06-20,26.92
441,2017-06-19,26.92
442,2017-06-16,26.92
443,2017-06-15,27.40
444,2017-06-14,26.75
445,2017-06-13,26.75
446,2017-06-12,26.88
447,2017-06-09,26.88
448,2017-06-08,26.82
449,2017-06-07,26.80
450,2017-06-06,26.48
451,2017-06-05,26.48
452,2017-06-02,26.21
453,2017-06-01,27.16
454,2017-05-31,27.16
455,2017-05-30,27.20
456,2017-05-26,27.20
457,2017-05-25,27.21
458,2017-05-24,27.21
459,2017-05-23,27.21
460,2017-05-22,27.21
461,2017-05-19,27.21
462,2017-05-18,27.85
463,2017-05-17,27.74
464,2017-05-16,27.29
465,2017-05-15,27.73
466,2017-05-12,28.00
467,2017-05-11,28.13
468,2017-05-10,28.13
469,2017-05-09,28.13
470,2017-05-08,28.13
471,2017-05-05,27.79
472,2017-05-04,28.79
473,2017-05-03,28.79
474,2017-05-02,28.82
475,2017-05-01,28.97
476,2017-04-28,29.22
477,2017-04-27,29.26
478,2017-04-26,29.16
479,2017-04-25,29.01
480,2017-04-24,29.41
481,2017-04-21,31.15
482,2017-04-20,31.63
483,2017-04-19,31.63
484,2017-04-18,31.43
485,2017-04-17,30.99
486,2017-04-13,31.45
487,2017-04-12,31.00
488,2017-04-11,31.00
489,2017-04-10,31.27
490,2017-04-07,31.17
491,2017-04-06,31.17
492,2017-04-05,31.13
493,2017-04-04,30.82
494,2017-04-03,30.80
495,2017-03-31,30.68
496,2017-03-30,30.49
497,2017-03-29,30.46
498,2017-03-28,30.39
499,2017-03-27,30.64
500,2017-03-24,30.82
501,2017-03-23,31.16
502,2017-03-22,31.16
503,2017-03-21,31.16
504,2017-03-20,30.73
505,2017-03-17,30.73
506,2017-03-16,30.89
507,2017-03-15,31.99
508,2017-03-14,32.16
509,2017-03-13,32.55
510,2017-03-10,32.55
511,2017-03-09,32.55
512,2017-03-08,32.83
513,2017-03-07,32.62
514,2017-03-06,32.38
515,2017-03-03,32.08
516,2017-03-02,31.90
517,2017-03-01,31.90
518,2017-02-28,32.79
519,2017-02-27,32.82
520,2017-02-24,32.84
521,2017-02-23,32.26
522,2017-02-22,32.69
523,2017-02-21,32.69
524,2017-02-17,32.69
525,2017-02-16,32.86
526,2017-02-15,32.86
527,2017-02-14,32.76
528,2017-02-13,32.76
529,2017-02-10,32.97
530,2017-02-09,33.24
531,2017-02-08,33.45
532,2017-02-07,33.59
533,2017-02-06,33.06
534,2017-02-03,33.06
535,2017-02-02,33.44
536,2017-02-01,33.44
537,2017-01-31,33.60
538,2017-01-30,33.66
539,2017-01-27,33.29
540,2017-01-26,33.00
541,2017-01-25,32.85
542,2017-01-24,33.57
543,2017-01-23,33.74
544,2017-01-20,33.99
545,2017-01-19,34.38
546,2017-01-18,34.14
547,2017-01-17,33.95
548,2017-01-13,33.76
549,2017-01-12,34.50
550,2017-01-11,34.50
551,2017-01-10,34.23
552,2017-01-09,34.27
553,2017-01-06,34.27
554,2017-01-05,34.17
555,2017-01-04,34.71
556,2017-01-03,35.44
557,2016-12-30,35.97
558,2016-12-29,36.12
559,2016-12-28,36.02
560,2016-12-27,36.02
561,2016-12-23,36.11
562,2016-12-22,36.11
563,2016-12-21,35.99
564,2016-12-20,36.04
565,2016-12-19,36.23
566,2016-12-16,36.17
567,2016-12-15,36.15
568,2016-12-14,36.05
569,2016-12-13,35.04
570,2016-12-12,35.71
571,2016-12-09,35.55
572,2016-12-08,35.78
573,2016-12-07,35.68
574,2016-12-06,37.11
575,2016-12-05,37.23
576,2016-12-02,38.12
577,2016-12-01,38.12
578,2016-11-30,37.86
579,2016-11-29,37.80
580,2016-11-28,38.16
581,2016-11-25,38.41
582,2016-11-23,38.41
583,2016-11-22,38.02
584,2016-11-21,38.30
585,2016-11-18,38.76
586,2016-11-17,38.10
587,2016-11-16,38.59
588,2016-11-15,37.74
589,2016-11-14,38.20
590,2016-11-11,37.70
591,2016-11-10,37.23
592,2016-11-09,36.97
593,2016-11-08,37.08
594,2016-11-07,37.28
595,2016-11-04,38.05
596,2016-11-03,37.61
597,2016-11-02,37.56
598,2016-11-01,37.12
599,2016-10-31,36.72
600,2016-10-28,36.78
601,2016-10-27,36.50
602,2016-10-26,36.65
603,2016-10-25,36.35
604,2016-10-24,36.39
605,2016-10-21,36.35
606,2016-10-20,36.07
607,2016-10-19,36.13
608,2016-10-18,36.30
609,2016-10-17,37.14
610,2016-10-14,36.96
611,2016-10-13,37.48
612,2016-10-12,36.78
613,2016-10-11,36.63
614,2016-10-10,35.62
615,2016-10-07,35.87
616,2016-10-06,35.52
617,2016-10-05,35.08
618,2016-10-04,35.31
619,2016-10-03,35.36
620,2016-09-30,35.05
621,2016-09-29,35.75
622,2016-09-28,35.52
623,2016-09-27,35.00
624,2016-09-26,35.00
625,2016-09-23,35.00
626,2016-09-22,34.48
627,2016-09-21,35.89
628,2016-09-20,36.44
629,2016-09-19,37.32
630,2016-09-16,37.32
631,2016-09-15,36.91
632,2016-09-14,37.10
633,2016-09-13,36.95
634,2016-09-12,35.48
635,2016-09-09,36.10
636,2016-09-08,34.74
637,2016-09-07,34.62
638,2016-09-06,34.59
639,2016-09-02,35.11
640,2016-09-01,35.88
641,2016-08-31,36.39
642,2016-08-30,36.27
643,2016-08-29,36.13
644,2016-08-26,36.38
645,2016-08-25,35.97
646,2016-08-24,35.70
647,2016-08-23,35.49
648,2016-08-22,35.80
649,2016-08-19,35.89
650,2016-08-18,35.34
651,2016-08-17,35.63
652,2016-08-16,35.73
653,2016-08-15,35.54
654,2016-08-12,35.77
655,2016-08-11,35.73
656,2016-08-10,36.17
657,2016-08-09,36.45
658,2016-08-08,37.12
659,2016-08-05,37.26
660,2016-08-04,37.58
661,2016-08-03,37.97
662,2016-08-02,37.87
663,2016-08-01,37.36
664,2016-07-29,36.84
665,2016-07-28,37.73
666,2016-07-27,37.70
667,2016-07-26,37.96
668,2016-07-25,38.28
669,2016-07-22,38.12
670,2016-07-21,38.06
671,2016-07-20,38.41
672,2016-07-19,38.76
673,2016-07-18,38.15
674,2016-07-15,38.34
675,2016-07-14,37.93
676,2016-07-13,38.60
677,2016-07-12,38.51
678,2016-07-11,39.57
679,2016-07-08,40.77
680,2016-07-07,42.07
681,2016-07-06,41.72
682,2016-07-05,41.60
683,2016-07-01,40.00
684,2016-06-30,40.06
685,2016-06-29,41.20
686,2016-06-28,42.88
687,2016-06-27,45.23
688,2016-06-24,43.69
689,2016-06-23,37.06
690,2016-06-22,39.19
691,2016-06-21,39.22
692,2016-06-20,39.77
693,2016-06-17,42.02
694,2016-06-16,43.10
695,2016-06-15,43.16
696,2016-06-14,43.59
697,2016-06-13,42.35
698,2016-06-10,41.01
699,2016-06-09,37.92
700,2016-06-08,37.92
701,2016-06-07,37.91
702,2016-06-06,39.52
703,2016-06-03,39.52
704,2016-06-02,39.52
705,2016-06-01,39.52
706,2016-05-31,39.52
707,2016-05-27,39.01
708,2016-05-26,39.06
709,2016-05-25,39.26
710,2016-05-24,40.13
711,2016-05-23,41.04
712,2016-05-20,41.04
713,2016-05-19,41.76
714,2016-05-18,41.34
715,2016-05-17,40.88
716,2016-05-16,40.60
717,2016-05-13,41.72
718,2016-05-12,40.86
719,2016-05-11,40.64
720,2016-05-10,41.26
721,2016-05-09,41.26
722,2016-05-06,41.40
723,2016-05-05,41.22
724,2016-05-04,41.28
725,2016-05-03,40.09
726,2016-05-02,39.03
727,2016-04-29,39.74
728,2016-04-28,39.33
729,2016-04-27,38.45
730,2016-04-26,38.45
731,2016-04-25,38.73
732,2016-04-22,38.30
733,2016-04-21,38.27
734,2016-04-20,37.58
735,2016-04-19,37.88
736,2016-04-18,39.40
737,2016-04-15,39.88
738,2016-04-14,39.75
739,2016-04-13,40.03
740,2016-04-12,41.45
741,2016-04-11,42.05
742,2016-04-08,42.75
743,2016-04-07,44.37
744,2016-04-06,43.74
745,2016-04-05,44.58
746,2016-04-04,42.89
747,2016-04-01,42.63
748,2016-03-31,41.60
749,2016-03-30,41.06
750,2016-03-29,41.64
751,2016-03-28,42.64
752,2016-03-24,43.33
753,2016-03-23,42.27
754,2016-03-22,41.81
755,2016-03-21,41.41
756,2016-03-18,41.37
757,2016-03-17,41.20
758,2016-03-16,42.06
759,2016-03-15,42.71
760,2016-03-14,41.80
761,2016-03-11,41.68
762,2016-03-10,44.44
763,2016-03-09,44.14
764,2016-03-08,44.14
765,2016-03-07,44.10
766,2016-03-04,43.19
767,2016-03-03,44.01
768,2016-03-02,44.72
769,2016-03-01,45.54
770,2016-02-29,47.89
771,2016-02-26,47.34
772,2016-02-25,47.09
773,2016-02-24,48.20
774,2016-02-23,47.93
775,2016-02-22,46.40
776,2016-02-19,47.61
777,2016-02-18,47.28
778,2016-02-17,46.86
779,2016-02-16,48.49
780,2016-02-12,50.64
781,2016-02-11,52.59
782,2016-02-10,50.96
783,2016-02-09,50.87
784,2016-02-08,49.75
785,2016-02-05,47.93
786,2016-02-04,46.51
787,2016-02-03,46.66
788,2016-02-02,47.36
789,2016-02-01,45.58
790,2016-01-29,45.64
791,2016-01-28,46.89
792,2016-01-27,47.23
793,2016-01-26,46.72
794,2016-01-25,48.27
795,2016-01-22,47.01
796,2016-01-21,49.90
797,2016-01-20,50.66
798,2016-01-19,48.47
799,2016-01-15,49.44
800,2016-01-14,46.08
801,2016-01-13,47.26
802,2016-01-12,45.83
803,2016-01-11,46.14
804,2016-01-08,46.70
805,2016-01-07,45.57
806,2016-01-06,43.81
807,2016-01-05,42.36
808,2016-01-04,42.33
809,2015-12-31,40.97
810,2015-12-30,39.96
811,2015-12-29,39.46
812,2015-12-28,40.31
813,2015-12-24,40.01
