,Date,NAV
1,2019-03-20,30.07
2,2019-03-19,30.07
3,2019-03-18,30.07
4,2019-03-15,30.07
5,2019-03-14,30.07
6,2019-03-13,30.32
7,2019-03-12,30.11
8,2019-03-11,30.07
9,2019-03-08,29.73
10,2019-03-07,29.86
11,2019-03-06,30.26
12,2019-03-05,30.41
13,2019-03-04,30.47
14,2019-03-01,30.57
15,2019-02-28,30.60
16,2019-02-27,30.57
17,2019-02-26,30.66
18,2019-02-25,30.76
19,2019-02-22,30.77
20,2019-02-21,30.63
21,2019-02-20,30.73
22,2019-02-19,30.61
23,2019-02-15,30.40
24,2019-02-14,30.08
25,2019-02-13,30.08
26,2019-02-12,29.98
27,2019-02-11,29.74
28,2019-02-08,29.59
29,2019-02-07,29.76
30,2019-02-06,29.94
31,2019-02-05,29.99
32,2019-02-04,29.91
33,2019-02-01,29.73
34,2019-01-31,29.69
35,2019-01-30,29.69
36,2019-01-29,29.61
37,2019-01-28,29.66
38,2019-01-25,29.74
39,2019-01-24,29.46
40,2019-01-23,29.34
41,2019-01-22,29.17
42,2019-01-18,29.43
43,2019-01-17,29.43
44,2019-01-16,29.27
45,2019-01-15,29.10
46,2019-01-14,29.07
47,2019-01-11,29.15
48,2019-01-10,29.20
49,2019-01-09,28.84
50,2019-01-08,28.84
51,2019-01-07,28.50
52,2019-01-04,28.23
53,2019-01-03,27.31
54,2019-01-02,27.45
55,2018-12-31,27.28
56,2018-12-28,27.30
57,2018-12-27,27.06
58,2018-12-26,27.15
59,2018-12-24,26.34
60,2018-12-21,26.76
61,2018-12-20,27.16
62,2018-12-19,27.43
63,2018-12-18,27.86
64,2018-12-17,27.73
65,2018-12-14,28.33
66,2018-12-13,28.62
67,2018-12-12,28.47
68,2018-12-11,28.47
69,2018-12-10,28.60
70,2018-12-07,28.87
71,2018-12-06,29.04
72,2018-12-04,30.22
73,2018-12-03,30.22
74,2018-11-30,29.97
75,2018-11-29,30.01
76,2018-11-28,30.10
77,2018-11-27,29.76
78,2018-11-26,29.72
79,2018-11-23,29.37
80,2018-11-21,29.42
81,2018-11-20,29.15
82,2018-11-19,29.68
83,2018-11-16,29.68
84,2018-11-15,29.65
85,2018-11-14,29.90
86,2018-11-13,29.90
87,2018-11-12,29.93
88,2018-11-09,30.33
89,2018-11-08,30.41
90,2018-11-07,30.59
91,2018-11-06,30.15
92,2018-11-05,30.01
93,2018-11-02,29.72
94,2018-11-01,29.72
95,2018-10-31,29.32
96,2018-10-30,29.20
97,2018-10-29,28.84
98,2018-10-26,28.81
99,2018-10-25,29.25
100,2018-10-24,29.02
101,2018-10-23,29.13
102,2018-10-22,29.85
103,2018-10-19,29.72
104,2018-10-18,29.73
105,2018-10-17,30.33
106,2018-10-16,29.69
107,2018-10-15,29.69
108,2018-10-12,29.69
109,2018-10-11,30.25
110,2018-10-10,30.91
111,2018-10-09,30.91
112,2018-10-08,31.11
113,2018-10-05,31.19
114,2018-10-04,31.44
115,2018-10-03,31.44
116,2018-10-02,31.71
117,2018-10-01,31.77
118,2018-09-28,31.83
119,2018-09-27,31.82
120,2018-09-26,31.93
121,2018-09-25,32.15
122,2018-09-24,32.37
123,2018-09-21,32.37
124,2018-09-20,32.37
125,2018-09-19,32.10
126,2018-09-18,32.19
127,2018-09-17,32.05
128,2018-09-14,32.05
129,2018-09-13,31.72
130,2018-09-12,31.72
131,2018-09-11,31.90
132,2018-09-10,32.02
133,2018-09-07,31.88
134,2018-09-06,32.02
135,2018-09-05,32.02
136,2018-09-04,32.03
137,2018-08-31,32.42
138,2018-08-30,32.46
139,2018-08-29,32.46
140,2018-08-28,32.33
141,2018-08-27,32.33
142,2018-08-24,32.22
143,2018-08-23,32.18
144,2018-08-22,32.29
145,2018-08-21,32.02
146,2018-08-20,31.94
147,2018-08-17,31.83
148,2018-08-16,31.52
149,2018-08-15,31.41
150,2018-08-14,31.74
151,2018-08-13,31.45
152,2018-08-10,31.65
153,2018-08-09,32.07
154,2018-08-08,32.00
155,2018-08-07,32.00
156,2018-08-06,31.95
157,2018-08-03,31.99
158,2018-08-02,32.09
159,2018-08-01,32.16
160,2018-07-31,32.20
161,2018-07-30,32.15
162,2018-07-27,32.05
163,2018-07-26,32.04
164,2018-07-25,32.04
165,2018-07-24,31.92
166,2018-07-23,31.97
167,2018-07-20,31.97
168,2018-07-19,31.96
169,2018-07-18,31.78
170,2018-07-17,31.80
171,2018-07-16,31.73
172,2018-07-13,31.73
173,2018-07-12,31.79
174,2018-07-11,31.71
175,2018-07-10,31.93
176,2018-07-09,31.95
177,2018-07-06,31.75
178,2018-07-05,31.65
179,2018-07-03,31.65
180,2018-07-02,31.29
181,2018-06-29,31.65
182,2018-06-28,31.42
183,2018-06-27,31.65
184,2018-06-26,31.91
185,2018-06-25,31.84
186,2018-06-22,32.07
187,2018-06-21,32.03
188,2018-06-20,32.19
189,2018-06-19,32.12
190,2018-06-18,32.34
191,2018-06-15,32.25
192,2018-06-14,32.42
193,2018-06-13,32.42
194,2018-06-12,32.60
195,2018-06-11,32.60
196,2018-06-08,32.61
197,2018-06-07,32.45
198,2018-06-06,32.26
199,2018-06-05,32.26
200,2018-06-04,32.27
201,2018-06-01,31.98
202,2018-05-31,31.81
203,2018-05-30,31.72
204,2018-05-29,31.52
205,2018-05-25,32.00
206,2018-05-24,32.06
207,2018-05-23,32.05
208,2018-05-22,32.10
209,2018-05-21,32.15
210,2018-05-18,31.97
211,2018-05-17,31.70
212,2018-05-16,31.70
213,2018-05-15,31.70
214,2018-05-14,31.99
215,2018-05-11,31.96
216,2018-05-10,31.94
