,Date,NAV
1,2019-03-20,26.00
2,2019-03-20,26.00
3,2019-03-19,25.89
4,2019-03-18,25.89
5,2019-03-15,25.92
6,2019-03-14,25.65
7,2019-03-13,25.70
8,2019-03-12,25.50
9,2019-03-11,25.50
10,2019-03-08,25.23
11,2019-03-07,25.36
12,2019-03-06,25.56
13,2019-03-05,25.64
14,2019-03-04,25.55
15,2019-03-01,25.63
16,2019-02-28,25.50
17,2019-02-27,25.64
18,2019-02-26,25.66
19,2019-02-25,25.51
20,2019-02-22,25.45
21,2019-02-21,25.29
22,2019-02-20,25.43
23,2019-02-19,25.29
24,2019-02-15,25.16
25,2019-02-14,24.89
26,2019-02-13,24.82
27,2019-02-12,24.83
28,2019-02-11,24.51
29,2019-02-08,24.55
30,2019-02-07,24.64
31,2019-02-06,24.95
32,2019-02-05,25.04
33,2019-02-04,24.88
34,2019-02-01,24.75
35,2019-01-31,24.71
36,2019-01-30,24.58
37,2019-01-29,24.28
38,2019-01-28,24.11
39,2019-01-25,24.27
40,2019-01-24,23.86
41,2019-01-23,23.86
42,2019-01-22,23.86
43,2019-01-18,23.86
44,2019-01-17,23.86
45,2019-01-16,23.77
46,2019-01-15,23.77
47,2019-01-14,23.61
48,2019-01-11,23.89
49,2019-01-10,23.89
50,2019-01-09,23.89
51,2019-01-08,22.59
52,2019-01-07,22.59
53,2019-01-04,22.59
54,2019-01-03,22.59
55,2019-01-02,22.76
56,2018-12-31,22.79
57,2018-12-28,22.70
58,2018-12-27,22.38
59,2018-12-26,22.50
60,2018-12-24,21.95
61,2018-12-21,22.21
62,2018-12-20,22.55
63,2018-12-19,22.78
64,2018-12-18,23.03
65,2018-12-17,23.05
66,2018-12-14,23.22
67,2018-12-13,23.22
68,2018-12-12,23.22
69,2018-12-11,23.22
70,2018-12-10,23.22
71,2018-12-07,23.52
72,2018-12-06,23.52
73,2018-12-04,24.35
74,2018-12-03,24.35
75,2018-11-30,24.06
76,2018-11-29,24.06
77,2018-11-28,23.59
78,2018-11-27,23.59
79,2018-11-26,23.84
80,2018-11-23,23.48
81,2018-11-21,23.48
82,2018-11-20,23.48
83,2018-11-19,24.27
84,2018-11-16,24.27
85,2018-11-15,24.27
86,2018-11-14,24.21
87,2018-11-13,24.91
88,2018-11-12,24.91
89,2018-11-09,24.91
90,2018-11-08,24.91
91,2018-11-07,24.91
92,2018-11-06,24.67
93,2018-11-05,24.59
94,2018-11-02,24.56
95,2018-11-01,24.54
96,2018-10-31,24.51
97,2018-10-30,23.86
98,2018-10-29,23.62
99,2018-10-26,23.77
100,2018-10-25,24.04
101,2018-10-24,24.00
102,2018-10-23,24.45
103,2018-10-22,24.82
104,2018-10-19,25.13
105,2018-10-18,25.15
106,2018-10-17,25.35
107,2018-10-16,25.46
108,2018-10-15,25.10
109,2018-10-12,25.10
110,2018-10-11,25.21
111,2018-10-10,25.71
112,2018-10-09,26.15
113,2018-10-08,26.31
114,2018-10-05,26.31
115,2018-10-04,27.09
116,2018-10-03,27.09
117,2018-10-02,27.09
118,2018-10-01,27.09
119,2018-09-28,27.09
120,2018-09-27,27.31
121,2018-09-26,27.31
122,2018-09-25,27.26
123,2018-09-24,26.54
124,2018-09-21,26.54
125,2018-09-20,26.54
126,2018-09-19,26.54
127,2018-09-18,26.46
128,2018-09-17,26.44
129,2018-09-14,26.44
130,2018-09-13,26.44
131,2018-09-12,26.44
132,2018-09-11,26.44
133,2018-09-10,26.44
134,2018-09-07,26.44
135,2018-09-06,26.44
136,2018-09-05,26.44
137,2018-09-04,26.44
138,2018-08-31,26.44
139,2018-08-30,26.13
140,2018-08-29,26.13
141,2018-08-28,26.13
142,2018-08-27,26.13
143,2018-08-24,26.13
144,2018-08-23,26.13
145,2018-08-22,26.13
146,2018-08-21,26.13
147,2018-08-20,25.87
148,2018-08-17,25.87
149,2018-08-16,25.63
150,2018-08-15,25.63
151,2018-08-14,26.76
152,2018-08-13,26.76
153,2018-08-10,26.76
154,2018-08-09,26.76
155,2018-08-08,26.52
156,2018-08-07,26.52
157,2018-08-06,26.52
158,2018-08-03,26.89
159,2018-08-02,26.89
160,2018-08-01,26.89
161,2018-07-31,26.89
162,2018-07-30,27.03
163,2018-07-27,27.03
164,2018-07-26,26.78
165,2018-07-25,26.78
166,2018-07-24,26.78
167,2018-07-23,26.41
168,2018-07-20,26.41
169,2018-07-19,26.41
170,2018-07-18,26.41
171,2018-07-17,26.41
172,2018-07-16,26.41
173,2018-07-13,26.41
174,2018-07-12,26.41
175,2018-07-11,26.41
176,2018-07-10,26.54
177,2018-07-09,26.17
178,2018-07-06,26.17
179,2018-07-05,26.17
180,2018-07-03,26.17
181,2018-07-02,26.43
182,2018-06-29,26.43
183,2018-06-28,26.43
184,2018-06-27,26.43
185,2018-06-26,26.53
186,2018-06-25,26.53
187,2018-06-22,26.68
188,2018-06-21,26.68
189,2018-06-20,26.70
190,2018-06-19,26.70
191,2018-06-18,27.15
192,2018-06-15,27.42
193,2018-06-14,27.58
194,2018-06-13,27.68
195,2018-06-12,27.68
196,2018-06-11,27.68
197,2018-06-08,27.65
198,2018-06-07,27.40
199,2018-06-06,27.40
200,2018-06-05,27.40
201,2018-06-04,27.51
202,2018-06-01,27.00
203,2018-05-31,27.00
204,2018-05-30,27.00
205,2018-05-29,27.00
206,2018-05-25,27.42
207,2018-05-24,28.01
208,2018-05-23,28.01
209,2018-05-22,28.01
210,2018-05-21,28.01
211,2018-05-18,28.01
212,2018-05-17,28.01
213,2018-05-16,28.01
214,2018-05-15,28.01
215,2018-05-14,28.01
216,2018-05-11,27.99
217,2018-05-10,27.66
218,2018-05-09,27.66
219,2018-05-08,27.66
220,2018-05-07,27.66
221,2018-05-04,27.34
222,2018-05-03,27.34
223,2018-05-02,27.34
224,2018-05-01,27.34
225,2018-04-30,27.45
226,2018-04-27,27.29
227,2018-04-26,27.29
