,Date,NAV
1,2019-03-20,29.64
2,2019-03-20,29.80
3,2019-03-19,29.90
4,2019-03-18,29.92
5,2019-03-15,29.75
6,2019-03-14,29.77
7,2019-03-13,29.88
8,2019-03-12,29.75
9,2019-03-11,29.74
10,2019-03-08,29.29
11,2019-03-07,29.44
12,2019-03-06,29.81
13,2019-03-05,30.12
14,2019-03-04,30.13
15,2019-03-01,30.30
16,2019-02-28,30.11
17,2019-02-27,30.18
18,2019-02-26,30.33
19,2019-02-25,30.37
20,2019-02-22,30.34
21,2019-02-21,30.20
22,2019-02-20,30.32
23,2019-02-19,30.28
24,2019-02-15,30.01
25,2019-02-14,29.80
26,2019-02-13,29.77
27,2019-02-12,29.67
28,2019-02-11,29.35
29,2019-02-08,29.28
30,2019-02-07,29.31
31,2019-02-06,29.56
32,2019-02-05,29.72
33,2019-02-04,29.57
34,2019-02-01,29.36
35,2019-01-31,29.37
36,2019-01-30,29.27
37,2019-01-29,29.00
38,2019-01-28,28.96
39,2019-01-25,29.11
40,2019-01-24,28.80
41,2019-01-23,28.62
42,2019-01-22,28.47
43,2019-01-18,28.99
44,2019-01-17,28.61
45,2019-01-16,28.46
46,2019-01-15,28.22
47,2019-01-14,28.09
48,2019-01-11,28.21
49,2019-01-10,28.31
50,2019-01-09,28.25
51,2019-01-08,27.87
52,2019-01-07,27.73
53,2019-01-04,27.46
54,2019-01-03,26.64
55,2019-01-02,26.99
56,2018-12-31,26.93
57,2018-12-28,26.86
58,2018-12-27,26.67
59,2018-12-26,26.55
60,2018-12-24,25.82
61,2018-12-21,25.91
62,2018-12-20,26.61
63,2018-12-19,26.69
64,2018-12-18,27.16
65,2018-12-17,27.05
66,2018-12-14,27.54
67,2018-12-13,27.90
68,2018-12-12,27.99
69,2018-12-11,27.75
70,2018-12-10,27.78
71,2018-12-07,27.93
72,2018-12-06,28.34
73,2018-12-04,28.44
74,2018-12-03,29.31
75,2018-11-30,29.02
76,2018-11-29,29.05
77,2018-11-28,29.08
78,2018-11-27,28.54
79,2018-11-26,28.60
80,2018-11-23,28.49
81,2018-11-21,28.53
82,2018-11-20,28.16
83,2018-11-19,28.71
84,2018-11-16,28.89
85,2018-11-15,28.94
86,2018-11-14,28.73
87,2018-11-13,28.74
88,2018-11-12,28.74
89,2018-11-09,29.06
90,2018-11-08,29.42
91,2018-11-07,29.56
92,2018-11-06,29.17
93,2018-11-05,29.26
94,2018-11-02,29.28
95,2018-11-01,29.11
96,2018-10-31,28.70
97,2018-10-30,28.37
98,2018-10-29,27.89
99,2018-10-26,28.14
100,2018-10-25,28.40
101,2018-10-24,28.09
102,2018-10-23,28.82
103,2018-10-22,29.03
104,2018-10-19,28.92
105,2018-10-18,28.91
106,2018-10-17,29.37
107,2018-10-16,29.43
108,2018-10-15,28.98
109,2018-10-12,28.93
110,2018-10-11,28.98
111,2018-10-10,29.33
112,2018-10-09,29.96
113,2018-10-08,30.13
114,2018-10-05,30.19
115,2018-10-04,30.42
116,2018-10-03,30.63
117,2018-10-02,30.69
118,2018-10-01,31.10
119,2018-09-28,31.13
120,2018-09-27,31.23
121,2018-09-26,31.29
122,2018-09-25,31.31
123,2018-09-24,31.14
124,2018-09-21,31.41
125,2018-09-20,31.16
126,2018-09-19,31.16
127,2018-09-18,31.13
128,2018-09-17,30.84
129,2018-09-14,31.03
130,2018-09-13,30.87
131,2018-09-12,30.79
132,2018-09-11,30.71
133,2018-09-10,30.78
134,2018-09-07,30.69
135,2018-09-06,31.02
136,2018-09-05,31.19
137,2018-09-04,31.27
138,2018-08-31,31.51
139,2018-08-30,31.52
140,2018-08-29,31.67
141,2018-08-28,31.59
142,2018-08-27,31.63
143,2018-08-24,31.30
144,2018-08-23,31.17
145,2018-08-22,31.22
146,2018-08-21,31.37
147,2018-08-20,30.95
148,2018-08-17,30.85
149,2018-08-16,30.80
150,2018-08-15,30.48
151,2018-08-14,31.09
152,2018-08-13,30.74
153,2018-08-10,31.05
154,2018-08-09,31.44
155,2018-08-08,31.29
156,2018-08-07,31.30
157,2018-08-06,31.23
158,2018-08-03,31.17
159,2018-08-02,31.25
160,2018-08-01,31.45
161,2018-07-31,31.29
162,2018-07-30,31.29
163,2018-07-27,31.57
164,2018-07-26,31.57
165,2018-07-25,31.22
166,2018-07-24,31.26
167,2018-07-23,31.12
168,2018-07-20,31.12
169,2018-07-19,30.92
170,2018-07-18,31.12
171,2018-07-17,31.02
172,2018-07-16,30.79
173,2018-07-13,31.02
174,2018-07-12,30.97
175,2018-07-11,30.76
176,2018-07-10,31.07
177,2018-07-09,31.18
178,2018-07-06,30.94
179,2018-07-05,30.61
180,2018-07-03,30.68
181,2018-07-02,31.04
182,2018-06-29,31.04
183,2018-06-28,30.67
184,2018-06-27,30.77
185,2018-06-26,31.13
186,2018-06-25,30.98
187,2018-06-22,31.55
188,2018-06-21,31.40
189,2018-06-20,31.61
190,2018-06-19,31.63
191,2018-06-18,31.81
192,2018-06-15,31.74
193,2018-06-14,32.00
194,2018-06-13,31.96
195,2018-06-12,32.01
196,2018-06-11,32.24
197,2018-06-08,32.07
198,2018-06-07,31.99
199,2018-06-06,32.24
200,2018-06-05,31.95
201,2018-06-04,31.93
202,2018-06-01,31.69
203,2018-05-31,31.44
204,2018-05-30,31.57
205,2018-05-29,31.13
206,2018-05-25,31.60
207,2018-05-24,31.57
208,2018-05-23,31.64
209,2018-05-22,31.71
210,2018-05-21,31.68
211,2018-05-18,31.54
212,2018-05-17,31.50
213,2018-05-16,31.44
214,2018-05-15,31.17
215,2018-05-14,31.23
216,2018-05-11,31.33
217,2018-05-10,31.12
218,2018-05-09,30.78
219,2018-05-08,30.78
220,2018-05-07,30.85
221,2018-05-04,30.71
222,2018-05-03,30.60
223,2018-05-02,30.78
224,2018-05-01,30.55
225,2018-04-30,31.00
226,2018-04-27,30.95
227,2018-04-26,30.99
228,2018-04-25,30.86
229,2018-04-24,31.21
230,2018-04-23,31.07
231,2018-04-20,31.08
232,2018-04-19,31.35
233,2018-04-18,31.54
234,2018-04-17,31.26
235,2018-04-16,31.26
236,2018-04-13,31.15
237,2018-04-12,31.31
238,2018-04-11,31.15
239,2018-04-10,30.96
240,2018-04-09,30.96
241,2018-04-06,31.11
242,2018-04-05,31.11
243,2018-04-04,30.98
244,2018-04-03,30.71
245,2018-04-02,30.26
246,2018-03-29,30.93
247,2018-03-28,30.44
248,2018-03-27,30.51
249,2018-03-26,30.39
250,2018-03-23,30.28
251,2018-03-22,30.74
252,2018-03-21,31.37
253,2018-03-20,31.19
254,2018-03-19,30.98
255,2018-03-16,31.35
256,2018-03-15,31.35
257,2018-03-14,31.29
258,2018-03-13,31.28
259,2018-03-12,31.44
260,2018-03-09,31.48
261,2018-03-08,31.06
262,2018-03-07,30.84
263,2018-03-06,30.96
264,2018-03-05,30.64
265,2018-03-02,30.29
266,2018-03-01,30.29
267,2018-02-28,30.72
268,2018-02-27,30.86
269,2018-02-26,30.95
270,2018-02-23,30.95
271,2018-02-22,31.04
272,2018-02-21,30.95
273,2018-02-20,30.77
274,2018-02-16,30.98
275,2018-02-15,30.87
276,2018-02-14,30.74
277,2018-02-13,30.11
278,2018-02-12,30.14
279,2018-02-09,29.16
280,2018-02-08,29.62
281,2018-02-07,30.30
282,2018-02-06,30.56
283,2018-02-05,30.47
284,2018-02-02,31.42
285,2018-02-01,31.94
286,2018-01-31,32.07
287,2018-01-30,32.00
288,2018-01-29,32.31
289,2018-01-26,32.53
290,2018-01-25,32.28
291,2018-01-24,32.26
292,2018-01-23,32.12
293,2018-01-22,32.08
294,2018-01-19,31.82
295,2018-01-18,31.66
296,2018-01-17,31.85
297,2018-01-16,31.71
298,2018-01-12,31.72
299,2018-01-11,31.61
300,2018-01-10,31.34
301,2018-01-09,31.34
302,2018-01-08,31.43
303,2018-01-05,31.32
304,2018-01-04,31.16
305,2018-01-03,31.15
306,2018-01-02,31.00
307,2017-12-29,30.73
308,2017-12-28,30.65
