,Date,NAV
1,2019-03-21,24.55
2,2019-03-20,24.80
3,2019-03-19,24.78
4,2019-03-18,24.68
5,2019-03-15,24.56
6,2019-03-14,24.35
7,2019-03-13,24.21
8,2019-03-12,23.96
9,2019-03-11,23.91
10,2019-03-08,23.75
11,2019-03-07,23.80
12,2019-03-06,24.11
13,2019-03-05,24.20
14,2019-03-04,24.22
15,2019-03-01,24.30
16,2019-02-28,24.12
17,2019-02-27,24.09
18,2019-02-26,24.20
19,2019-02-25,24.01
20,2019-02-22,23.97
21,2019-02-21,23.89
22,2019-02-20,24.00
23,2019-02-19,23.91
24,2019-02-15,23.73
25,2019-02-14,23.46
26,2019-02-13,23.47
27,2019-02-12,23.47
28,2019-02-11,23.24
29,2019-02-08,23.28
30,2019-02-07,23.43
31,2019-02-06,23.80
32,2019-02-05,23.82
33,2019-02-04,23.63
34,2019-02-01,23.59
35,2019-01-31,23.53
36,2019-01-30,23.73
37,2019-01-29,23.51
38,2019-01-28,23.39
39,2019-01-25,23.45
40,2019-01-24,23.24
41,2019-01-23,23.23
42,2019-01-22,23.26
43,2019-01-18,23.26
44,2019-01-17,23.03
45,2019-01-16,22.84
46,2019-01-15,22.84
47,2019-01-14,22.85
48,2019-01-11,22.94
49,2019-01-10,22.99
50,2019-01-09,22.98
51,2019-01-08,22.67
52,2019-01-07,22.51
53,2019-01-04,22.31
54,2019-01-03,21.70
55,2019-01-02,21.82
56,2018-12-31,21.98
57,2018-12-28,21.85
58,2018-12-27,21.61
59,2018-12-26,21.71
60,2018-12-24,21.32
61,2018-12-21,21.52
62,2018-12-20,22.05
63,2018-12-19,22.05
64,2018-12-18,22.05
65,2018-12-17,21.98
66,2018-12-14,22.23
67,2018-12-13,22.55
68,2018-12-12,22.57
69,2018-12-11,22.13
70,2018-12-10,22.13
71,2018-12-07,22.38
72,2018-12-06,22.53
73,2018-12-04,22.83
74,2018-12-03,23.27
75,2018-11-30,23.00
76,2018-11-29,23.07
77,2018-11-28,23.07
78,2018-11-27,23.07
79,2018-11-26,22.95
80,2018-11-23,22.95
81,2018-11-21,23.16
82,2018-11-20,22.82
83,2018-11-19,23.24
84,2018-11-16,23.25
85,2018-11-15,23.25
86,2018-11-14,23.54
87,2018-11-13,23.51
88,2018-11-12,23.97
89,2018-11-09,23.97
90,2018-11-08,23.97
91,2018-11-07,24.10
92,2018-11-06,23.46
93,2018-11-05,23.46
94,2018-11-02,23.46
95,2018-11-01,23.46
96,2018-10-31,23.46
97,2018-10-30,23.04
98,2018-10-29,23.04
99,2018-10-26,23.04
100,2018-10-25,23.02
101,2018-10-24,23.37
102,2018-10-23,23.37
103,2018-10-22,23.66
104,2018-10-19,23.81
105,2018-10-18,23.76
106,2018-10-17,24.14
107,2018-10-16,24.28
108,2018-10-15,23.80
109,2018-10-12,23.93
110,2018-10-11,23.88
111,2018-10-10,24.18
112,2018-10-09,24.66
113,2018-10-08,24.91
114,2018-10-05,24.91
115,2018-10-04,25.12
116,2018-10-03,25.49
117,2018-10-02,25.63
118,2018-10-01,25.63
119,2018-09-28,25.61
120,2018-09-27,25.98
121,2018-09-26,26.12
122,2018-09-25,26.09
123,2018-09-24,26.09
124,2018-09-21,26.09
125,2018-09-20,26.16
126,2018-09-19,25.75
127,2018-09-18,25.68
128,2018-09-17,25.57
129,2018-09-14,25.57
130,2018-09-13,25.57
131,2018-09-12,25.32
132,2018-09-11,25.32
133,2018-09-10,25.37
134,2018-09-07,25.09
135,2018-09-06,25.25
136,2018-09-05,25.87
137,2018-09-04,25.87
138,2018-08-31,25.87
139,2018-08-30,25.87
140,2018-08-29,26.14
141,2018-08-28,25.98
142,2018-08-27,25.98
143,2018-08-24,25.64
144,2018-08-23,25.72
145,2018-08-22,25.68
146,2018-08-21,25.46
147,2018-08-20,25.22
148,2018-08-17,25.22
149,2018-08-16,24.93
150,2018-08-15,25.21
151,2018-08-14,25.21
152,2018-08-13,25.27
153,2018-08-10,25.98
