,Date,NAV
1,2019-03-21,12.89
2,2019-03-20,12.86
3,2019-03-19,12.85
4,2019-03-18,12.92
5,2019-03-15,12.78
6,2019-03-14,12.74
7,2019-03-13,12.73
8,2019-03-12,12.69
9,2019-03-11,12.58
10,2019-03-08,12.41
11,2019-03-07,12.43
12,2019-03-06,12.36
13,2019-03-05,12.40
14,2019-03-04,12.40
15,2019-03-01,12.43
16,2019-02-28,12.52
17,2019-02-27,12.51
18,2019-02-26,12.72
19,2019-02-25,12.65
20,2019-02-22,12.66
21,2019-02-21,12.58
22,2019-02-20,12.45
23,2019-02-19,12.60
24,2019-02-15,12.46
25,2019-02-14,12.45
26,2019-02-13,12.40
27,2019-02-12,12.47
28,2019-02-11,12.28
29,2019-02-08,12.31
30,2019-02-07,12.28
31,2019-02-06,12.57
32,2019-02-05,12.55
33,2019-02-04,12.48
34,2019-02-01,12.52
35,2019-01-31,12.48
36,2019-01-30,12.33
37,2019-01-29,12.32
38,2019-01-28,12.33
39,2019-01-25,12.29
40,2019-01-24,12.16
41,2019-01-23,12.15
42,2019-01-22,11.91
43,2019-01-18,12.01
44,2019-01-17,11.94
45,2019-01-16,11.86
46,2019-01-15,11.92
47,2019-01-14,11.78
48,2019-01-11,11.99
49,2019-01-10,11.90
50,2019-01-09,11.77
51,2019-01-08,11.69
52,2019-01-07,11.59
53,2019-01-04,11.66
54,2019-01-03,11.27
55,2019-01-02,11.25
56,2018-12-31,11.23
57,2018-12-28,11.22
58,2018-12-27,11.15
59,2018-12-26,11.15
60,2018-12-24,11.12
61,2018-12-21,11.35
62,2018-12-20,11.33
63,2018-12-19,11.40
64,2018-12-18,11.43
65,2018-12-17,11.47
66,2018-12-14,11.63
67,2018-12-13,11.64
68,2018-12-12,11.77
69,2018-12-11,11.58
70,2018-12-10,11.58
71,2018-12-07,11.65
72,2018-12-06,11.65
73,2018-12-04,11.64
74,2018-12-03,11.67
75,2018-11-30,11.61
76,2018-11-29,11.56
77,2018-11-28,11.73
78,2018-11-27,11.50
79,2018-11-26,11.46
80,2018-11-23,11.38
81,2018-11-21,11.47
82,2018-11-20,11.45
83,2018-11-19,11.48
84,2018-11-16,11.63
85,2018-11-15,11.30
86,2018-11-14,11.40
87,2018-11-13,11.58
88,2018-11-12,11.79
89,2018-11-09,11.68
90,2018-11-08,11.93
91,2018-11-07,12.01
92,2018-11-06,11.88
93,2018-11-05,11.76
94,2018-11-02,11.62
95,2018-11-01,11.55
96,2018-10-31,11.43
97,2018-10-30,11.49
98,2018-10-29,11.51
99,2018-10-26,11.39
100,2018-10-25,11.44
101,2018-10-24,11.50
102,2018-10-23,11.57
103,2018-10-22,11.66
104,2018-10-19,11.74
105,2018-10-18,11.59
106,2018-10-17,11.65
107,2018-10-16,11.77
108,2018-10-15,11.67
109,2018-10-12,11.54
110,2018-10-11,11.53
111,2018-10-10,11.57
112,2018-10-09,11.67
113,2018-10-08,11.69
114,2018-10-05,11.71
115,2018-10-04,11.96
116,2018-10-03,11.91
117,2018-10-02,11.95
118,2018-10-01,11.90
119,2018-09-28,11.98
120,2018-09-27,11.96
121,2018-09-26,11.90
122,2018-09-25,12.01
123,2018-09-24,12.10
124,2018-09-21,12.10
125,2018-09-20,12.20
126,2018-09-19,12.11
127,2018-09-18,12.12
128,2018-09-17,12.11
129,2018-09-14,12.14
130,2018-09-13,12.14
131,2018-09-12,12.15
132,2018-09-11,12.05
133,2018-09-10,11.92
134,2018-09-07,11.93
135,2018-09-06,11.96
136,2018-09-05,11.80
137,2018-09-04,11.99
138,2018-08-31,11.99
139,2018-08-30,11.99
140,2018-08-29,12.04
141,2018-08-28,11.91
142,2018-08-27,11.99
143,2018-08-24,11.95
144,2018-08-23,11.91
145,2018-08-22,11.99
146,2018-08-21,12.02
147,2018-08-20,11.98
148,2018-08-17,11.80
149,2018-08-16,11.69
150,2018-08-15,11.57
151,2018-08-14,11.72
152,2018-08-13,11.67
153,2018-08-10,11.79
154,2018-08-09,11.79
155,2018-08-08,11.88
