Week,ACWI,ACWV,ACWX,CGW,CWI,DBEF,DIM,DLS,DOL,DTH,DWM,DWX,EFA,EFAV,EFG,EFV,EWS,EZU,FDT,FGD,GDX,GDXJ,GII,GNR,GUNR,GWX,IDLV,IDV,IEFA,IGF,IOO,IXC,IXG,IXJ,IXP,IXUS,JXI,KXI,LIT,MOO,MXI,NUGT,PDN,PICK,PID,PPH,PSP,PXF,RXI,SCHC,SCHF,SCZ,SDIV,SIL,SMH,SPDW,TAN,TLTD,URA,URTH,VEA,VEU,VSS,VT,VXUS,WOOD
2019-21,-0.00141084,0.00022381,0.00044326,0.00028588,0.00172563,-0.0003202,-0.00182512,0.00046664,-0.00348508,-0.0035524,-0.00281464,0.00026274,-0.00265004,-0.00168374,-0.00334922,-0.00377754,0.00086957,-0.00467532,-0.00637558,0.00087604,0.01714006,0.01749375,-0.00748179,-0.00521327,-0.00645161,-0.00306331,-0.00422961,-0.00231176,-0.00233217,-0.00688583,-0.00403311,-0.01353478,-0.00224503,-0.00608931,-0.00754121,0.00052947,-0.01347112,-0.00309598,-0.00282372,0.00032927,-0.00179621,0.04817619,-0.00379965,-0.00834492,-0.00375704,-0.0203648,0.00172563,-0.00379555,-0.0032726,-0.00538657,-0.00291451,-0.002477,-0.00416171,0.02092812,0.01106038,-0.00208696,0.00697945,-0.00084402,-0.00782609,-0.00431769,-0.00297989,0.00081666,0.00167686,-0.00152799,0.00019724,-0.01375737
2019-20,-0.00083857,0.00792234,0.00088222,0.00745413,0.00028604,0.00063694,0.00032895,0.00386757,0.0034775,0.00025151,0.00279609,0.00709034,0.0041854,0.00924111,0.00654685,-0.00020773,-0.01481795,0.00051493,-0.00230282,-0.00345572,-0.00531915,-0.009487,0.00946932,-0.01301418,-0.00953895,0.00408024,0.00754603,-0.00163132,0.0043082,0.01202405,-0.00398239,-0.02703524,-0.00269627,0.01558266,-0.00541201,0.00211119,0.01553254,0.00210084,-0.01775148,0.00065456,-0.0017834,-0.0212061,0.00412655,-0.004851,0.00313283,0.00769769,-0.01350211,0.0,-0.0090798,0.00157629,0.00257732,0.00511554,-0.00294985,-0.00357302,-0.01787831,0.00241963,0.02040816,0.00167729,-0.01206897,-0.00112524,0.00321067,0.00223532,0.00285517,-0.00247457,0.00117739,-0.01802739
2019-19,0.01323012,0.01425501,0.00909091,-0.00624822,0.01036269,0.02467532,0.01291177,0.01198071,0.01387054,0.01172572,0.01415858,0.00264271,0.01504466,0.01507609,0.01989338,0.01069182,0.0,0.02003122,0.01407636,0.0091663,-0.0086001,-0.0177717,0.00614592,0.00836043,0.01055325,0.01194132,0.01069682,0.0059269,0.01540007,0.00760116,0.01996178,0.01701206,0.00575448,0.01459979,0.01782248,0.01061008,0.0005569,0.01681484,-0.01687117,-0.00113618,0.01692433,-0.03198976,0.00793377,0.0111576,0.00948767,0.00774103,0.01623932,0.0103457,0.01875495,0.01586798,0.0143136,0.01257527,-0.002936,-0.02207792,0.00085438,0.01397624,0.03356529,0.01042893,0.0265252,0.01785511,0.01446745,0.00898693,0.01137375,0.01442241,0.00947119,-0.0097676
2019-18,-0.01646424,-0.00567045,-0.01761834,-0.01435671,-0.01792609,-0.01621959,-0.01513462,-0.01213301,-0.01426746,-0.01281735,-0.01463986,-0.00284827,-0.01358901,-0.00529691,-0.01243562,-0.01832092,-0.00974421,-0.01375688,-0.01916697,-0.01342282,-0.00098522,-0.003861,-0.00118297,-0.01343785,-0.0099194,-0.01894187,0.00182039,-0.00734121,-0.01449742,-0.00155659,-0.02111675,-0.00636943,-0.01935681,-0.01560684,-0.0130597,-0.01827102,0.00187161,-0.00305227,-0.02545715,-0.0103125,-0.02,-0.00694927,-0.01658375,-0.02173197,-0.01226994,-0.01383033,-0.00992556,-0.01958888,-0.02193937,-0.01374465,-0.01658323,-0.01309524,-0.00686892,-0.03663158,-0.04454632,-0.01445864,-0.00626223,-0.01845855,-0.02598491,-0.01736946,-0.01607486,-0.01818893,-0.01393893,-0.01766268,-0.01683374,-0.03625
2019-17,0.00228035,0.00657968,0.00441919,0.00745239,0.00437637,0.00030893,0.0,-0.00103566,0.00253861,0.00146843,0.00232243,0.00128899,0.00404676,0.00555942,0.0056257,0.0029964,0.00316706,0.00297693,0.00291227,-0.00206868,-0.02639155,-0.03103683,0.00471884,-0.00921659,-0.00609942,0.00323625,0.00423601,-0.00157729,0.00351944,0.00199601,0.00263211,-0.01896296,0.00333182,0.01178451,-0.01772991,0.00335458,0.00825671,0.00498084,0.01872524,0.00904413,-0.00458015,-0.07918263,0.00065445,-0.00869285,-0.00060938,0.00992301,0.00660066,0.00143781,0.00083202,0.00120809,0.00248524,0.00320351,0.0039818,-0.02097902,0.01987847,0.00267023,0.03310997,0.00192555,0.0016488,0.00272094,0.00190476,0.00329649,0.00338219,0.0025119,0.0031865,0.00186393
2019-16,0.00337291,0.01048242,-0.00336417,0.00528071,-0.00382409,0.00248524,-0.00705219,-0.00428931,-0.00779768,-0.01189032,-0.00675545,-0.0020592,-0.00165264,0.00433566,0.00643939,-0.0099226,0.00200803,-0.01110837,-0.01101481,-0.01398601,0.01525262,0.04005525,0.00789266,-0.0200431,-0.02060932,-0.0032352,-0.00030276,-0.01438849,-0.00272392,0.00690423,0.00285016,-0.0304248,0.00614156,0.03201113,0.01249789,-0.00419041,0.00998493,0.00328185,-0.03639515,-0.00078186,-0.01707609,0.04174455,-0.00814598,-0.0311042,-0.00182704,0.02863709,0.01005868,-0.01235741,0.00493187,-0.00661853,-0.00465983,-0.00033824,-0.00509338,0.01600328,-0.01555593,-0.00367156,0.00908373,-0.00814566,-0.02091714,0.00559088,-0.00333492,-0.00368146,-0.00635573,0.00505588,-0.00355739,0.01978161
2019-15,0.00175676,-0.00725042,0.00484823,0.00167084,0.00493016,0.00750234,-0.00078272,-0.00412553,0.00337981,0.00024284,0.00289799,0.00387697,0.00300888,-0.00375365,0.00341642,0.00278164,0.00727861,0.00597163,0.00072241,0.00577558,-0.03960396,-0.04397026,-0.0082224,-0.00450547,-0.00328554,-0.00770465,-0.00090634,0.0,0.00208567,-0.00642873,0.00553279,0.00116788,0.01146043,-0.0428262,0.00785251,0.00369375,-0.0124489,0.00251305,0.00310666,0.00423928,-0.00327967,-0.1193952,0.00032563,-0.00431433,0.00796569,-0.03788651,0.01269036,0.00501074,0.01053963,-0.00450045,0.00217797,-0.00101283,-0.01060268,-0.0356025,0.04102927,0.00200401,0.01496764,0.00368236,-0.00956175,0.00175728,0.00142993,0.00466291,-0.00111857,0.00186443,0.00412835,-0.02203182
2019-14,0.00284476,0.00167842,0.00253165,-0.00222346,0.00274123,0.00250862,0.00536024,0.00491145,0.00105708,0.00170441,0.00271265,0.00650533,0.00226278,-0.00110957,0.00190283,0.00318979,0.00485241,0.01031187,0.00018041,0.01086957,-0.02115469,-0.03562577,0.00452133,-0.00616104,-0.00917703,0.00323415,0.00211672,0.01047952,0.00306106,0.00155211,-0.00041017,-0.00749928,0.01396078,-0.0228833,0.01614864,0.00269179,0.00223256,0.0009705,-0.01052274,-0.00564617,0.00328358,-0.06366308,0.00327761,-0.01001517,0.00061275,-0.02775008,0.00767918,0.0062425,0.00929796,0.00757346,0.00312305,0.00715746,-0.00111421,-0.03824522,0.01010907,0.00368756,-0.0144173,0.00289715,-0.01470588,0.00385802,0.00358938,0.00233508,0.00515996,0.00413885,0.00395257,-0.00181901
2019-13,0.0095851,0.00011153,0.01066553,0.01150393,0.01165049,0.01012018,0.00938444,0.00568777,0.00854153,0.00786434,0.00879593,0.00156535,0.00852489,-0.00304077,0.00690537,0.01169355,0.02154994,0.01661979,0.00380159,0.01183432,0.02140255,0.0301361,0.00453738,0.01494477,0.01084991,0.00487964,-0.00030312,0.01252006,0.00845116,0.00601202,0.00955745,0.00968026,0.01336303,-0.00016321,0.01034362,0.01002719,0.00464598,-0.0069646,0.01557632,0.01175723,0.02156293,0.06182796,0.00493259,0.01560549,0.01057214,-0.00990262,0.0112069,0.0126367,0.01872659,0.00795107,0.00819414,0.0080659,0.00111173,0.0165321,0.03295089,0.0057413,0.05084746,0.00778968,0.00389712,0.0089067,0.00869565,0.01081825,0.01014603,0.00944542,0.01084269,0.01828238
2019-12,0.01149586,0.01027436,0.008061,0.00682206,0.00907029,0.01528455,0.00404269,0.00688494,0.0047681,0.0042394,0.00656064,0.00555262,0.00714286,0.00755668,0.01347815,0.00287238,0.01021711,0.00625652,0.01228821,-0.00042882,-0.0361135,-0.05227001,0.00476853,0.01386094,0.01049059,0.00497183,0.00489746,-0.00355182,0.00812873,0.00448229,0.00762873,0.00627053,0.00819672,0.01142195,0.00071124,0.00921098,-0.0091659,0.01492537,0.0187185,0.01415094,0.01390645,-0.10614273,0.00369872,0.01702128,0.00315856,0.00936925,0.01417183,0.00321862,0.0111647,0.00844278,0.00675241,0.01037819,0.00679502,-0.04727535,0.00882353,0.00516173,0.0017301,0.00363937,0.0,0.01081512,0.00739463,0.0080402,0.00813244,0.01035626,0.00874636,0.02319588
