,Date,NAV
1,2019-03-21,33.09
2,2019-03-20,33.26
3,2019-03-19,33.24
4,2019-03-18,33.09
5,2019-03-15,32.85
6,2019-03-14,32.53
7,2019-03-13,32.58
8,2019-03-12,32.29
9,2019-03-11,32.30
10,2019-03-08,31.96
11,2019-03-07,32.01
12,2019-03-06,32.27
13,2019-03-05,32.34
14,2019-03-04,32.24
15,2019-03-01,32.43
16,2019-02-28,32.50
17,2019-02-27,32.53
18,2019-02-26,32.45
19,2019-02-25,32.28
20,2019-02-22,32.16
21,2019-02-21,32.01
22,2019-02-20,32.11
23,2019-02-19,32.15
24,2019-02-15,31.78
25,2019-02-14,31.49
26,2019-02-13,31.55
27,2019-02-12,31.56
28,2019-02-11,31.26
29,2019-02-08,31.38
30,2019-02-07,31.51
31,2019-02-06,31.92
32,2019-02-05,31.99
33,2019-02-04,31.68
34,2019-02-01,31.75
35,2019-01-31,31.82
36,2019-01-30,31.71
37,2019-01-29,31.61
38,2019-01-28,31.39
39,2019-01-25,31.56
40,2019-01-24,31.05
41,2019-01-23,31.06
42,2019-01-22,30.98
43,2019-01-18,31.42
44,2019-01-17,31.32
45,2019-01-16,31.05
46,2019-01-15,30.82
47,2019-01-14,31.03
48,2019-01-11,30.98
49,2019-01-10,31.26
50,2019-01-09,31.04
51,2019-01-08,30.71
52,2019-01-07,30.56
53,2019-01-04,30.40
54,2019-01-03,29.54
55,2019-01-02,29.70
56,2018-12-31,29.78
57,2018-12-28,29.87
58,2018-12-27,29.55
59,2018-12-26,29.33
60,2018-12-24,29.35
61,2018-12-21,29.46
62,2018-12-20,29.74
63,2018-12-19,29.87
64,2018-12-18,29.93
65,2018-12-17,30.02
66,2018-12-14,30.54
67,2018-12-13,30.60
68,2018-12-12,30.57
69,2018-12-11,30.09
70,2018-12-10,30.08
71,2018-12-07,30.39
72,2018-12-06,30.65
73,2018-12-04,30.73
74,2018-12-03,31.49
75,2018-11-30,31.12
76,2018-11-29,31.29
77,2018-11-28,31.42
78,2018-11-27,31.10
79,2018-11-26,31.28
80,2018-11-23,30.65
81,2018-11-21,31.11
82,2018-11-20,30.70
83,2018-11-19,31.07
84,2018-11-16,31.43
85,2018-11-15,31.30
86,2018-11-14,31.30
87,2018-11-13,31.16
88,2018-11-12,31.06
89,2018-11-09,31.62
90,2018-11-08,31.54
91,2018-11-07,31.79
92,2018-11-06,31.52
93,2018-11-05,31.46
94,2018-11-02,31.30
95,2018-11-01,31.36
96,2018-10-31,30.88
97,2018-10-30,30.74
98,2018-10-29,30.60
99,2018-10-26,30.57
100,2018-10-25,30.77
101,2018-10-24,30.75
102,2018-10-23,31.00
103,2018-10-22,31.24
104,2018-10-19,31.32
105,2018-10-18,31.11
106,2018-10-17,31.73
107,2018-10-16,31.80
108,2018-10-15,31.42
109,2018-10-12,31.32
110,2018-10-11,31.52
111,2018-10-10,32.18
112,2018-10-09,32.16
113,2018-10-08,32.18
114,2018-10-05,32.31
115,2018-10-04,32.43
116,2018-10-03,32.76
117,2018-10-02,32.96
118,2018-10-01,32.96
119,2018-09-28,33.05
120,2018-09-27,33.46
121,2018-09-26,33.36
122,2018-09-25,33.24
123,2018-09-24,33.22
124,2018-09-21,33.47
125,2018-09-20,33.42
126,2018-09-19,33.05
127,2018-09-18,33.26
128,2018-09-17,33.04
129,2018-09-14,32.80
130,2018-09-13,32.90
131,2018-09-12,32.60
132,2018-09-11,32.60
133,2018-09-10,32.62
134,2018-09-07,32.30
135,2018-09-06,32.45
136,2018-09-05,32.69
137,2018-09-04,32.71
138,2018-08-31,32.97
139,2018-08-30,33.28
140,2018-08-29,33.59
141,2018-08-28,33.47
142,2018-08-27,33.34
143,2018-08-24,33.30
144,2018-08-23,33.17
145,2018-08-22,33.39
146,2018-08-21,33.34
147,2018-08-20,33.11
148,2018-08-17,33.17
149,2018-08-16,32.78
150,2018-08-15,32.39
151,2018-08-14,32.98
152,2018-08-13,32.86
153,2018-08-10,33.04
154,2018-08-09,33.71
155,2018-08-08,33.61
156,2018-08-07,33.74
157,2018-08-06,33.53
158,2018-08-03,33.73
159,2018-08-02,33.69
160,2018-08-01,33.72
161,2018-07-31,34.29
162,2018-07-30,33.90
163,2018-07-27,33.90
164,2018-07-26,33.73
165,2018-07-25,33.96
166,2018-07-24,33.58
167,2018-07-23,33.58
168,2018-07-20,33.52
169,2018-07-19,33.52
170,2018-07-18,33.58
171,2018-07-17,33.46
172,2018-07-16,33.60
173,2018-07-13,33.70
174,2018-07-12,33.53
175,2018-07-11,33.53
176,2018-07-10,34.10
177,2018-07-09,34.11
178,2018-07-06,33.85
179,2018-07-05,33.58
180,2018-07-03,33.20
181,2018-07-02,32.83
182,2018-06-29,33.34
183,2018-06-28,32.99
184,2018-06-27,32.86
185,2018-06-26,33.15
186,2018-06-25,33.05
187,2018-06-22,33.34
188,2018-06-21,33.15
189,2018-06-20,33.29
190,2018-06-19,33.11
191,2018-06-18,33.41
192,2018-06-15,33.50
193,2018-06-14,33.50
194,2018-06-13,33.66
195,2018-06-12,33.83
196,2018-06-11,33.85
197,2018-06-08,33.59
198,2018-06-07,33.72
199,2018-06-06,33.90
200,2018-06-05,33.62
201,2018-06-04,33.66
202,2018-06-01,33.35
203,2018-05-31,33.48
204,2018-05-30,33.52
205,2018-05-29,32.76
206,2018-05-25,33.67
207,2018-05-24,34.07
208,2018-05-23,34.10
209,2018-05-22,34.36
210,2018-05-21,34.42
211,2018-05-18,34.29
212,2018-05-17,34.37
213,2018-05-16,34.21
214,2018-05-15,34.35
215,2018-05-14,34.80
216,2018-05-11,34.58
217,2018-05-10,34.72
218,2018-05-09,34.45
219,2018-05-08,34.22
220,2018-05-07,34.48
221,2018-05-04,34.39
222,2018-05-03,34.49
223,2018-05-02,34.38
224,2018-05-01,34.39
225,2018-04-30,34.43
226,2018-04-27,34.50
227,2018-04-26,34.43
228,2018-04-25,34.16
229,2018-04-24,34.24
230,2018-04-23,34.27
231,2018-04-20,34.34
232,2018-04-19,34.61
233,2018-04-18,34.84
234,2018-04-17,34.71
235,2018-04-16,34.58
236,2018-04-13,34.51
237,2018-04-12,34.49
238,2018-04-11,34.36
239,2018-04-10,34.45
240,2018-04-09,34.14
241,2018-04-06,33.66
242,2018-04-05,33.94
243,2018-04-04,33.79
244,2018-04-03,33.70
245,2018-04-02,33.28
246,2018-03-29,33.89
247,2018-03-28,33.79
248,2018-03-27,33.49
249,2018-03-26,33.63
250,2018-03-23,33.35
251,2018-03-22,33.55
252,2018-03-21,34.08
253,2018-03-20,34.02
254,2018-03-19,34.01
255,2018-03-16,34.43
256,2018-03-15,34.30
257,2018-03-14,34.50
258,2018-03-13,34.19
259,2018-03-12,34.56
260,2018-03-09,34.55
261,2018-03-08,34.28
262,2018-03-07,34.28
263,2018-03-06,34.24
264,2018-03-05,33.94
265,2018-03-02,33.91
266,2018-03-01,33.99
267,2018-02-28,34.16
268,2018-02-27,34.70
269,2018-02-26,34.87
270,2018-02-23,34.79
271,2018-02-22,34.36
272,2018-02-21,34.32
273,2018-02-20,34.36
274,2018-02-16,34.71
275,2018-02-15,34.49
276,2018-02-14,34.18
277,2018-02-13,33.80
278,2018-02-12,33.82
279,2018-02-09,33.43
280,2018-02-08,33.46
281,2018-02-07,34.06
282,2018-02-06,34.41
283,2018-02-05,33.76
284,2018-02-02,35.15
285,2018-02-01,35.74
286,2018-01-31,35.69
287,2018-01-30,35.57
288,2018-01-29,35.90
289,2018-01-26,36.23
290,2018-01-25,35.88
291,2018-01-24,35.97
292,2018-01-23,35.89
293,2018-01-22,35.83
294,2018-01-19,35.68
295,2018-01-18,35.59
296,2018-01-17,35.52
297,2018-01-16,35.51
298,2018-01-12,35.47
299,2018-01-11,35.03
300,2018-01-10,34.80
301,2018-01-09,35.11
302,2018-01-08,35.10
303,2018-01-05,35.30
304,2018-01-04,35.04
305,2018-01-03,34.76
306,2018-01-02,34.63
307,2017-12-29,34.51
308,2017-12-28,34.45
309,2017-12-27,34.29
310,2017-12-26,34.20
311,2017-12-22,34.19
312,2017-12-21,34.21
313,2017-12-20,34.02
314,2017-12-19,34.11
315,2017-12-18,34.15
316,2017-12-15,33.85
317,2017-12-14,33.95
318,2017-12-13,34.16
319,2017-12-12,34.01
320,2017-12-11,34.02
321,2017-12-08,33.92
322,2017-12-07,33.90
323,2017-12-06,33.89
324,2017-12-05,33.83
325,2017-12-04,34.06
326,2017-12-01,34.05
327,2017-11-30,34.10
328,2017-11-29,34.06
329,2017-11-28,34.00
330,2017-11-27,33.80
331,2017-11-24,33.69
332,2017-11-22,33.69
333,2017-11-21,33.58
334,2017-11-20,33.52
335,2017-11-17,33.55
336,2017-11-16,33.80
337,2017-11-15,33.67
338,2017-11-14,33.75
339,2017-11-13,33.82
340,2017-11-10,33.96
341,2017-11-09,33.92
342,2017-11-08,34.16
343,2017-11-07,33.90
344,2017-11-06,34.09
345,2017-11-03,33.96
346,2017-11-02,34.04
347,2017-11-01,34.02
348,2017-10-31,33.97
349,2017-10-30,33.59
350,2017-10-27,33.59
351,2017-10-26,33.67
352,2017-10-25,33.62
353,2017-10-24,33.81
354,2017-10-23,33.82
355,2017-10-20,33.97
356,2017-10-19,33.98
357,2017-10-18,34.02
358,2017-10-17,33.87
359,2017-10-16,33.94
360,2017-10-13,34.06
361,2017-10-12,34.00
362,2017-10-11,34.00
363,2017-10-10,33.93
364,2017-10-09,33.56
365,2017-10-06,33.57
366,2017-10-05,33.57
367,2017-10-04,33.56
368,2017-10-03,33.71
369,2017-10-02,33.70
370,2017-09-29,33.79
371,2017-09-28,33.58
372,2017-09-27,33.47
373,2017-09-26,33.46
374,2017-09-25,33.83
375,2017-09-22,33.83
376,2017-09-21,33.72
377,2017-09-20,33.78
378,2017-09-19,33.93
379,2017-09-18,33.88
380,2017-09-15,33.76
381,2017-09-14,33.78
382,2017-09-13,33.67
383,2017-09-12,33.92
384,2017-09-11,33.91
385,2017-09-08,33.67
386,2017-09-07,33.69
387,2017-09-06,33.51
388,2017-09-05,33.22
389,2017-09-01,33.45
390,2017-08-31,33.35
391,2017-08-30,33.15
392,2017-08-29,33.17
393,2017-08-28,33.29
394,2017-08-25,33.29
395,2017-08-24,33.18
396,2017-08-23,33.22
397,2017-08-22,33.23
398,2017-08-21,33.13
399,2017-08-18,33.25
400,2017-08-17,32.99
401,2017-08-16,33.50
402,2017-08-15,33.21
403,2017-08-14,33.28
404,2017-08-11,33.12
405,2017-08-10,33.14
406,2017-08-09,33.49
407,2017-08-08,33.50
408,2017-08-07,33.63
409,2017-08-04,33.68
410,2017-08-03,33.68
411,2017-08-02,33.69
412,2017-08-01,33.63
413,2017-07-31,33.39
414,2017-07-28,33.34
415,2017-07-27,33.34
416,2017-07-26,33.40
417,2017-07-25,33.12
418,2017-07-24,33.06
419,2017-07-21,33.10
420,2017-07-20,33.25
421,2017-07-19,33.14
422,2017-07-18,32.91
423,2017-07-17,32.81
424,2017-07-14,32.87
425,2017-07-13,32.56
426,2017-07-12,32.56
427,2017-07-11,32.16
428,2017-07-10,32.24
429,2017-07-07,32.24
430,2017-07-06,32.09
