,Date,NAV
1,2019-03-21,56.24
2,2019-03-20,56.25
3,2019-03-19,56.26
4,2019-03-18,55.99
5,2019-03-15,55.68
6,2019-03-14,54.82
7,2019-03-13,54.90
8,2019-03-12,54.71
9,2019-03-11,54.61
10,2019-03-08,54.10
11,2019-03-07,54.19
12,2019-03-06,55.17
13,2019-03-05,55.46
14,2019-03-04,55.22
15,2019-03-01,55.08
16,2019-02-28,54.58
17,2019-02-27,54.93
18,2019-02-26,55.39
19,2019-02-25,55.20
20,2019-02-22,54.93
21,2019-02-21,54.46
22,2019-02-20,54.50
23,2019-02-19,54.33
24,2019-02-15,54.10
25,2019-02-14,53.76
26,2019-02-13,53.62
27,2019-02-12,53.66
28,2019-02-11,52.95
29,2019-02-08,52.87
30,2019-02-07,53.29
31,2019-02-06,53.81
32,2019-02-05,54.25
33,2019-02-04,53.69
34,2019-02-01,53.56
35,2019-01-31,53.63
36,2019-01-30,53.29
37,2019-01-29,52.59
38,2019-01-28,52.41
39,2019-01-25,52.58
40,2019-01-24,52.05
41,2019-01-23,51.69
42,2019-01-22,51.53
43,2019-01-18,52.08
44,2019-01-17,51.48
45,2019-01-16,51.30
46,2019-01-15,50.99
47,2019-01-14,50.61
48,2019-01-11,51.02
49,2019-01-10,51.39
50,2019-01-09,51.29
51,2019-01-08,50.52
52,2019-01-07,50.30
53,2019-01-04,50.01
54,2019-01-03,48.50
55,2019-01-02,49.14
56,2018-12-31,49.33
57,2018-12-28,49.08
58,2018-12-27,48.71
59,2018-12-26,48.71
60,2018-12-24,47.65
61,2018-12-21,47.96
62,2018-12-20,48.64
63,2018-12-19,49.00
64,2018-12-18,49.61
65,2018-12-17,49.41
66,2018-12-14,50.00
67,2018-12-13,50.93
68,2018-12-12,51.05
69,2018-12-11,50.18
70,2018-12-10,49.92
71,2018-12-07,50.14
72,2018-12-06,51.06
73,2018-12-04,51.80
74,2018-12-03,52.89
75,2018-11-30,51.95
76,2018-11-29,52.42
77,2018-11-28,52.31
78,2018-11-27,51.32
79,2018-11-26,51.54
80,2018-11-23,50.96
81,2018-11-21,51.14
82,2018-11-20,50.00
83,2018-11-19,51.12
84,2018-11-16,51.64
85,2018-11-15,51.84
86,2018-11-14,51.73
87,2018-11-13,51.72
88,2018-11-12,51.45
89,2018-11-09,52.86
90,2018-11-08,53.18
91,2018-11-07,54.19
92,2018-11-06,53.40
93,2018-11-05,53.55
94,2018-11-02,53.73
95,2018-11-01,53.29
96,2018-10-31,52.16
97,2018-10-30,51.41
98,2018-10-29,50.44
99,2018-10-26,51.03
100,2018-10-25,51.36
101,2018-10-24,51.26
102,2018-10-23,52.26
103,2018-10-22,53.00
104,2018-10-19,52.88
105,2018-10-18,52.55
106,2018-10-17,53.70
107,2018-10-16,53.91
108,2018-10-15,52.80
109,2018-10-12,52.81
110,2018-10-11,52.54
111,2018-10-10,52.96
112,2018-10-09,54.43
113,2018-10-08,54.55
114,2018-10-05,54.79
115,2018-10-04,55.31
116,2018-10-03,56.45
117,2018-10-02,56.61
118,2018-10-01,57.13
119,2018-09-28,56.89
120,2018-09-27,57.24
121,2018-09-26,57.50
122,2018-09-25,57.42
123,2018-09-24,57.20
124,2018-09-21,57.60
125,2018-09-20,57.74
126,2018-09-19,57.08
127,2018-09-18,56.98
128,2018-09-17,56.55
129,2018-09-14,56.86
130,2018-09-13,56.68
131,2018-09-12,56.47
132,2018-09-11,55.86
133,2018-09-10,56.00
134,2018-09-07,55.70
135,2018-09-06,56.20
136,2018-09-05,56.64
137,2018-09-04,56.98
138,2018-08-31,57.75
139,2018-08-30,57.85
140,2018-08-29,58.37
141,2018-08-28,58.25
142,2018-08-27,58.50
143,2018-08-24,57.73
144,2018-08-23,57.21
145,2018-08-22,57.70
146,2018-08-21,57.43
147,2018-08-20,57.03
148,2018-08-17,56.62
149,2018-08-16,56.14
150,2018-08-15,55.72
151,2018-08-14,56.60
152,2018-08-13,56.39
153,2018-08-10,56.62
154,2018-08-09,57.71
155,2018-08-08,57.73
156,2018-08-07,57.46
157,2018-08-06,57.36
158,2018-08-03,57.65
159,2018-08-02,57.72
160,2018-08-01,58.08
161,2018-07-31,58.40
162,2018-07-30,58.17
163,2018-07-27,58.18
164,2018-07-26,58.15
165,2018-07-25,58.39
166,2018-07-24,57.86
167,2018-07-23,57.66
168,2018-07-20,57.85
169,2018-07-19,57.41
170,2018-07-18,57.69
171,2018-07-17,57.49
172,2018-07-16,57.47
173,2018-07-13,57.39
174,2018-07-12,57.22
175,2018-07-11,56.63
176,2018-07-10,57.50
177,2018-07-09,57.35
178,2018-07-06,56.76
179,2018-07-05,56.25
180,2018-07-03,56.37
181,2018-07-02,55.90
182,2018-06-29,56.51
183,2018-06-28,55.94
184,2018-06-27,55.96
185,2018-06-26,56.49
186,2018-06-25,56.63
187,2018-06-22,57.41
188,2018-06-21,56.84
189,2018-06-20,56.96
190,2018-06-19,56.70
191,2018-06-18,57.21
192,2018-06-15,57.57
193,2018-06-14,58.17
194,2018-06-13,58.48
195,2018-06-12,58.16
196,2018-06-11,58.23
197,2018-06-08,57.94
198,2018-06-07,57.76
199,2018-06-06,58.22
200,2018-06-05,57.71
201,2018-06-04,57.79
202,2018-06-01,57.43
203,2018-05-31,57.12
204,2018-05-30,57.13
205,2018-05-29,56.61
206,2018-05-25,57.57
207,2018-05-24,57.54
208,2018-05-23,57.52
209,2018-05-22,57.90
210,2018-05-21,57.86
211,2018-05-18,57.33
212,2018-05-17,57.47
213,2018-05-16,57.68
214,2018-05-15,57.30
215,2018-05-14,58.04
216,2018-05-11,58.15
217,2018-05-10,58.28
218,2018-05-09,57.76
219,2018-05-08,57.39
220,2018-05-07,57.39
221,2018-05-04,57.39
222,2018-05-03,57.14
223,2018-05-02,57.01
224,2018-05-01,56.92
225,2018-04-30,57.34
226,2018-04-27,57.78
227,2018-04-26,57.47
228,2018-04-25,56.98
229,2018-04-24,57.09
230,2018-04-23,57.24
231,2018-04-20,57.47
232,2018-04-19,58.00
233,2018-04-18,58.77
234,2018-04-17,58.63
235,2018-04-16,58.49
236,2018-04-13,58.21
237,2018-04-12,58.51
238,2018-04-11,58.46
239,2018-04-10,58.53
240,2018-04-09,58.31
241,2018-04-06,57.91
242,2018-04-05,58.26
243,2018-04-04,57.39
244,2018-04-03,57.87
245,2018-04-02,57.07
246,2018-03-29,58.33
247,2018-03-28,57.36
248,2018-03-27,57.03
249,2018-03-26,57.61
250,2018-03-23,57.06
251,2018-03-22,57.07
252,2018-03-21,58.31
253,2018-03-20,58.17
254,2018-03-19,57.91
255,2018-03-16,58.30
256,2018-03-15,58.48
257,2018-03-14,58.54
258,2018-03-13,58.18
259,2018-03-12,58.58
260,2018-03-09,58.46
261,2018-03-08,57.74
262,2018-03-07,57.64
263,2018-03-06,57.59
264,2018-03-05,57.22
265,2018-03-02,56.77
266,2018-03-01,56.37
267,2018-02-28,57.48
268,2018-02-27,58.00
269,2018-02-26,59.14
270,2018-02-23,58.52
271,2018-02-22,58.22
272,2018-02-21,58.29
273,2018-02-20,58.34
274,2018-02-16,58.90
275,2018-02-15,58.53
276,2018-02-14,58.02
277,2018-02-13,56.95
278,2018-02-12,56.81
279,2018-02-09,56.34
280,2018-02-08,55.93
281,2018-02-07,57.33
282,2018-02-06,58.10
283,2018-02-05,57.03
284,2018-02-02,59.27
285,2018-02-01,60.61
286,2018-01-31,60.36
287,2018-01-30,60.51
288,2018-01-29,60.85
289,2018-01-26,61.38
290,2018-01-25,60.98
291,2018-01-24,61.26
292,2018-01-23,60.99
293,2018-01-22,60.85
294,2018-01-19,60.44
295,2018-01-18,60.00
296,2018-01-17,59.84
297,2018-01-16,59.39
298,2018-01-12,59.16
299,2018-01-11,58.80
300,2018-01-10,58.60
301,2018-01-09,59.20
302,2018-01-08,59.16
303,2018-01-05,59.32
304,2018-01-04,58.90
305,2018-01-03,58.46
306,2018-01-02,57.99
307,2017-12-29,57.87
308,2017-12-28,57.63
309,2017-12-27,57.40
310,2017-12-26,57.15
311,2017-12-22,57.18
312,2017-12-21,57.01
313,2017-12-20,56.84
314,2017-12-19,57.06
315,2017-12-18,57.04
316,2017-12-15,56.57
317,2017-12-14,56.61
318,2017-12-13,56.91
319,2017-12-12,56.66
320,2017-12-11,56.80
321,2017-12-08,56.70
322,2017-12-07,56.44
323,2017-12-06,56.36
324,2017-12-05,56.47
325,2017-12-04,56.58
326,2017-12-01,56.62
327,2017-11-30,56.63
328,2017-11-29,56.81
329,2017-11-28,57.45
330,2017-11-27,57.07
331,2017-11-24,57.49
332,2017-11-22,57.17
333,2017-11-21,57.00
334,2017-11-20,56.45
335,2017-11-17,56.20
336,2017-11-16,56.39
337,2017-11-15,55.56
338,2017-11-14,55.91
339,2017-11-13,55.90
340,2017-11-10,56.09
341,2017-11-09,56.03
342,2017-11-08,56.46
343,2017-11-07,56.19
344,2017-11-06,56.63
345,2017-11-03,56.42
346,2017-11-02,56.46
347,2017-11-01,56.39
348,2017-10-31,56.48
349,2017-10-30,56.13
350,2017-10-27,56.00
351,2017-10-26,55.94
352,2017-10-25,55.87
353,2017-10-24,55.92
354,2017-10-23,56.07
355,2017-10-20,56.15
356,2017-10-19,56.20
357,2017-10-18,56.53
358,2017-10-17,56.32
359,2017-10-16,56.52
360,2017-10-13,56.49
361,2017-10-12,56.23
362,2017-10-11,56.15
363,2017-10-10,55.91
364,2017-10-09,55.35
365,2017-10-06,55.35
366,2017-10-05,55.57
367,2017-10-04,55.64
368,2017-10-03,55.42
369,2017-10-02,55.09
370,2017-09-29,55.10
371,2017-09-28,54.72
372,2017-09-27,54.62
373,2017-09-26,54.67
374,2017-09-25,54.95
375,2017-09-22,55.61
376,2017-09-21,55.66
377,2017-09-20,55.66
378,2017-09-19,55.90
379,2017-09-18,55.80
380,2017-09-15,55.65
381,2017-09-14,55.40
382,2017-09-13,55.29
383,2017-09-12,55.52
384,2017-09-11,55.58
385,2017-09-08,55.06
386,2017-09-07,55.25
387,2017-09-06,54.88
388,2017-09-05,54.48
389,2017-09-01,54.85
