,Date,NAV
1,2019-03-21,28.82
2,2019-03-20,28.80
3,2019-03-19,28.69
4,2019-03-18,28.76
5,2019-03-15,28.61
6,2019-03-14,28.41
7,2019-03-13,28.39
8,2019-03-12,28.15
9,2019-03-11,28.11
10,2019-03-08,27.92
11,2019-03-07,27.92
12,2019-03-06,28.15
13,2019-03-05,28.23
14,2019-03-04,28.13
15,2019-03-01,28.18
16,2019-02-28,28.05
17,2019-02-27,28.10
18,2019-02-26,28.23
19,2019-02-25,28.06
20,2019-02-22,28.05
21,2019-02-21,27.88
22,2019-02-20,27.98
23,2019-02-19,27.95
24,2019-02-15,27.74
25,2019-02-14,27.44
26,2019-02-13,27.30
27,2019-02-12,27.29
28,2019-02-11,27.03
29,2019-02-08,27.11
30,2019-02-07,27.14
31,2019-02-06,27.41
32,2019-02-05,27.55
33,2019-02-04,27.36
34,2019-02-01,27.25
35,2019-01-31,27.34
36,2019-01-30,27.17
37,2019-01-29,26.93
38,2019-01-28,26.76
39,2019-01-25,26.83
40,2019-01-24,26.64
41,2019-01-23,26.65
42,2019-01-22,26.57
43,2019-01-18,26.88
44,2019-01-17,26.63
45,2019-01-16,26.53
46,2019-01-15,26.58
47,2019-01-14,26.39
48,2019-01-11,26.56
49,2019-01-10,26.73
50,2019-01-09,26.69
51,2019-01-08,26.36
52,2019-01-07,26.16
53,2019-01-04,26.13
54,2019-01-03,25.44
55,2019-01-02,25.56
56,2018-12-31,25.60
57,2018-12-28,25.63
58,2018-12-27,25.44
59,2018-12-26,25.36
60,2018-12-24,24.83
61,2018-12-21,25.09
62,2018-12-20,25.46
63,2018-12-19,25.68
64,2018-12-18,25.91
65,2018-12-17,25.96
66,2018-12-14,26.22
67,2018-12-13,26.60
68,2018-12-12,26.73
69,2018-12-11,26.38
70,2018-12-10,26.34
71,2018-12-07,26.47
72,2018-12-06,26.52
73,2018-12-04,26.87
74,2018-12-03,27.32
75,2018-11-30,27.18
76,2018-11-29,27.30
77,2018-11-28,27.30
78,2018-11-27,26.91
79,2018-11-26,27.02
80,2018-11-23,26.78
81,2018-11-21,26.73
82,2018-11-20,26.36
83,2018-11-19,27.06
84,2018-11-16,27.30
85,2018-11-15,27.26
86,2018-11-14,27.08
87,2018-11-13,27.18
88,2018-11-12,27.14
89,2018-11-09,27.57
90,2018-11-08,27.84
91,2018-11-07,28.11
92,2018-11-06,27.76
93,2018-11-05,27.61
94,2018-11-02,27.72
95,2018-11-01,27.61
96,2018-10-31,27.26
97,2018-10-30,27.00
98,2018-10-29,26.59
99,2018-10-26,26.82
100,2018-10-25,27.07
101,2018-10-24,26.62
102,2018-10-23,27.49
103,2018-10-22,27.94
104,2018-10-19,27.93
105,2018-10-18,27.79
106,2018-10-17,28.32
107,2018-10-16,28.51
108,2018-10-15,27.99
109,2018-10-12,28.09
110,2018-10-11,27.81
111,2018-10-10,28.16
112,2018-10-09,29.12
113,2018-10-08,29.13
114,2018-10-05,29.30
115,2018-10-04,29.51
116,2018-10-03,30.10
117,2018-10-02,30.16
118,2018-10-01,30.45
119,2018-09-28,30.20
120,2018-09-27,30.47
121,2018-09-26,30.52
122,2018-09-25,30.47
123,2018-09-24,30.29
124,2018-09-21,30.39
125,2018-09-20,30.29
126,2018-09-19,30.02
127,2018-09-18,29.84
128,2018-09-17,29.52
129,2018-09-14,29.47
130,2018-09-13,29.40
131,2018-09-12,29.25
132,2018-09-11,29.02
133,2018-09-10,28.89
134,2018-09-07,28.81
135,2018-09-06,29.08
136,2018-09-05,29.16
137,2018-09-04,29.57
138,2018-08-31,29.72
139,2018-08-30,29.93
140,2018-08-29,30.15
141,2018-08-28,30.01
142,2018-08-27,29.96
143,2018-08-24,29.49
144,2018-08-23,29.34
145,2018-08-22,29.45
146,2018-08-21,29.29
147,2018-08-20,29.07
148,2018-08-17,28.93
149,2018-08-16,28.75
150,2018-08-15,28.54
151,2018-08-14,29.05
152,2018-08-13,29.00
153,2018-08-10,29.21
154,2018-08-09,29.67
155,2018-08-08,29.70
156,2018-08-07,29.70
157,2018-08-06,29.51
158,2018-08-03,29.58
159,2018-08-02,29.58
160,2018-08-01,29.75
161,2018-07-31,29.84
162,2018-07-30,29.87
163,2018-07-27,30.05
164,2018-07-26,30.00
165,2018-07-25,30.22
166,2018-07-24,29.93
167,2018-07-23,29.78
168,2018-07-20,29.89
169,2018-07-19,29.74
170,2018-07-18,29.80
171,2018-07-17,29.80
172,2018-07-16,29.76
173,2018-07-13,29.81
174,2018-07-12,29.63
175,2018-07-11,29.42
176,2018-07-10,29.85
177,2018-07-09,29.75
178,2018-07-06,29.49
179,2018-07-05,29.18
180,2018-07-03,29.08
181,2018-07-02,29.02
182,2018-06-29,29.41
183,2018-06-28,29.32
184,2018-06-27,29.26
185,2018-06-26,29.39
186,2018-06-25,29.34
187,2018-06-22,29.77
188,2018-06-21,29.58
189,2018-06-20,29.72
190,2018-06-19,29.73
191,2018-06-18,30.03
192,2018-06-15,30.26
193,2018-06-14,30.39
194,2018-06-13,30.42
195,2018-06-12,30.35
196,2018-06-11,30.65
197,2018-06-08,30.46
198,2018-06-07,30.38
199,2018-06-06,30.49
200,2018-06-05,30.30
201,2018-06-04,30.28
202,2018-06-01,30.06
203,2018-05-31,30.01
204,2018-05-30,29.99
205,2018-05-29,29.65
206,2018-05-25,30.25
207,2018-05-24,30.33
208,2018-05-23,30.43
209,2018-05-22,30.78
210,2018-05-21,30.86
211,2018-05-18,30.60
212,2018-05-17,30.67
213,2018-05-16,30.70
214,2018-05-15,30.52
215,2018-05-14,30.72
216,2018-05-11,30.71
217,2018-05-10,30.58
218,2018-05-09,30.29
219,2018-05-08,30.31
220,2018-05-07,30.29
221,2018-05-04,30.19
222,2018-05-03,30.11
223,2018-05-02,30.07
224,2018-05-01,30.04
225,2018-04-30,30.16
226,2018-04-27,30.23
227,2018-04-26,30.26
228,2018-04-25,30.00
229,2018-04-24,30.10
230,2018-04-23,30.23
231,2018-04-20,30.30
232,2018-04-19,30.38
233,2018-04-18,30.52
234,2018-04-17,30.43
235,2018-04-16,30.25
236,2018-04-13,30.15
237,2018-04-12,30.11
238,2018-04-11,30.07
239,2018-04-10,30.16
240,2018-04-09,29.78
241,2018-04-06,29.57
242,2018-04-05,29.79
243,2018-04-04,29.61
244,2018-04-03,29.60
245,2018-04-02,29.30
246,2018-03-29,29.95
247,2018-03-28,29.62
248,2018-03-27,29.52
249,2018-03-26,29.71
250,2018-03-23,29.27
251,2018-03-22,29.75
252,2018-03-21,30.29
253,2018-03-20,30.23
254,2018-03-19,30.07
255,2018-03-16,30.44
256,2018-03-15,30.49
257,2018-03-14,30.42
258,2018-03-13,30.31
259,2018-03-12,30.52
260,2018-03-09,30.43
261,2018-03-08,30.22
262,2018-03-07,30.10
263,2018-03-06,30.15
264,2018-03-05,29.78
265,2018-03-02,29.68
266,2018-03-01,29.67
267,2018-02-28,30.23
268,2018-02-27,30.55
269,2018-02-26,30.88
270,2018-02-23,30.65
271,2018-02-22,30.39
272,2018-02-21,30.34
273,2018-02-20,30.35
274,2018-02-16,30.74
275,2018-02-15,30.55
276,2018-02-14,30.16
277,2018-02-13,29.56
278,2018-02-12,29.61
279,2018-02-09,29.26
280,2018-02-08,29.02
281,2018-02-07,29.84
282,2018-02-06,30.16
283,2018-02-05,29.65
284,2018-02-02,31.02
285,2018-02-01,31.80
286,2018-01-31,31.70
287,2018-01-30,31.73
288,2018-01-29,31.99
289,2018-01-26,32.26
290,2018-01-25,31.92
291,2018-01-24,32.17
292,2018-01-23,32.11
293,2018-01-22,32.09
294,2018-01-19,32.01
295,2018-01-18,31.72
296,2018-01-17,31.76
297,2018-01-16,31.49
298,2018-01-12,31.40
299,2018-01-11,31.13
300,2018-01-10,30.96
301,2018-01-09,30.95
302,2018-01-08,30.94
303,2018-01-05,31.04
304,2018-01-04,30.79
305,2018-01-03,30.34
306,2018-01-02,30.10
307,2017-12-29,29.87
308,2017-12-28,29.92
309,2017-12-27,29.93
310,2017-12-26,29.84
311,2017-12-22,29.81
312,2017-12-21,29.77
313,2017-12-20,29.68
314,2017-12-19,29.71
315,2017-12-18,29.86
316,2017-12-15,29.51
317,2017-12-14,29.44
318,2017-12-13,29.58
319,2017-12-12,29.53
320,2017-12-11,29.50
321,2017-12-08,29.51
322,2017-12-07,29.33
323,2017-12-06,29.24
324,2017-12-05,29.33
325,2017-12-04,29.40
326,2017-12-01,29.56
327,2017-11-30,29.68
328,2017-11-29,29.72
329,2017-11-28,29.86
330,2017-11-27,29.81
331,2017-11-24,29.99
332,2017-11-22,29.80
333,2017-11-21,29.78
334,2017-11-20,29.54
335,2017-11-17,29.49
336,2017-11-16,29.56
337,2017-11-15,29.33
338,2017-11-14,29.46
339,2017-11-13,29.44
340,2017-11-10,29.59
341,2017-11-09,29.59
342,2017-11-08,29.89
343,2017-11-07,29.75
344,2017-11-06,29.93
345,2017-11-03,29.94
346,2017-11-02,29.97
347,2017-11-01,29.93
348,2017-10-31,29.89
349,2017-10-30,29.81
350,2017-10-27,29.80
351,2017-10-26,29.78
352,2017-10-25,29.59
353,2017-10-24,29.67
354,2017-10-23,29.55
355,2017-10-20,29.57
356,2017-10-19,29.62
357,2017-10-18,29.68
