,Date,NAV
1,2019-03-21,9.21
2,2019-03-20,9.27
3,2019-03-19,9.09
4,2019-03-18,9.05
5,2019-03-15,9.06
6,2019-03-14,9.03
7,2019-03-13,9.35
8,2019-03-12,9.25
9,2019-03-11,9.02
10,2019-03-08,9.11
11,2019-03-07,8.82
12,2019-03-06,8.75
13,2019-03-05,8.93
14,2019-03-04,8.73
15,2019-03-01,8.85
16,2019-02-28,9.23
17,2019-02-27,9.35
18,2019-02-26,9.50
19,2019-02-25,9.52
20,2019-02-22,9.47
21,2019-02-21,9.42
22,2019-02-20,9.55
23,2019-02-19,9.62
24,2019-02-15,9.11
25,2019-02-14,8.97
26,2019-02-13,8.82
27,2019-02-12,8.88
28,2019-02-11,8.96
29,2019-02-08,8.96
30,2019-02-07,8.82
31,2019-02-06,9.01
32,2019-02-05,9.11
33,2019-02-04,9.03
34,2019-02-01,9.00
35,2019-01-31,9.07
36,2019-01-30,8.89
37,2019-01-29,8.72
38,2019-01-28,8.40
39,2019-01-25,8.38
40,2019-01-24,8.01
41,2019-01-23,7.90
42,2019-01-22,7.87
43,2019-01-18,8.00
44,2019-01-17,8.15
45,2019-01-16,8.17
46,2019-01-15,8.26
47,2019-01-14,8.63
48,2019-01-11,8.65
49,2019-01-10,8.69
50,2019-01-09,8.91
51,2019-01-08,8.71
52,2019-01-07,8.51
53,2019-01-04,8.57
54,2019-01-03,8.54
55,2019-01-02,8.24
56,2018-12-31,8.04
57,2018-12-28,8.05
58,2018-12-27,7.91
59,2018-12-26,8.00
60,2018-12-24,7.90
61,2018-12-21,7.80
62,2018-12-20,7.99
63,2018-12-19,7.63
64,2018-12-18,8.03
65,2018-12-17,7.88
66,2018-12-14,7.70
67,2018-12-13,7.88
68,2018-12-12,7.85
69,2018-12-11,7.65
70,2018-12-10,7.64
71,2018-12-07,7.78
72,2018-12-06,7.58
73,2018-12-04,7.68
74,2018-12-03,7.75
75,2018-11-30,7.48
76,2018-11-29,7.54
77,2018-11-28,7.65
78,2018-11-27,7.36
79,2018-11-26,7.57
80,2018-11-23,7.68
81,2018-11-21,7.97
82,2018-11-20,7.78
83,2018-11-19,7.87
84,2018-11-16,7.91
85,2018-11-15,7.83
86,2018-11-14,7.53
87,2018-11-13,7.42
88,2018-11-12,7.57
89,2018-11-09,7.96
90,2018-11-08,8.04
91,2018-11-07,8.02
92,2018-11-06,8.22
93,2018-11-05,8.38
94,2018-11-02,8.34
95,2018-11-01,8.35
96,2018-10-31,7.82
97,2018-10-30,8.07
98,2018-10-29,8.03
99,2018-10-26,8.26
100,2018-10-25,8.19
101,2018-10-24,8.57
102,2018-10-23,8.71
103,2018-10-22,8.80
104,2018-10-19,8.88
105,2018-10-18,8.97
106,2018-10-17,9.00
107,2018-10-16,8.97
108,2018-10-15,9.00
109,2018-10-12,8.83
110,2018-10-11,8.94
111,2018-10-10,8.49
112,2018-10-09,8.51
113,2018-10-08,8.55
114,2018-10-05,8.48
115,2018-10-04,8.61
116,2018-10-03,8.63
117,2018-10-02,8.65
118,2018-10-01,8.67
119,2018-09-28,8.55
120,2018-09-27,8.36
121,2018-09-26,8.55
122,2018-09-25,8.72
123,2018-09-24,8.70
124,2018-09-21,8.69
125,2018-09-20,8.85
126,2018-09-19,8.79
127,2018-09-18,8.66
128,2018-09-17,8.65
129,2018-09-14,8.46
130,2018-09-13,8.52
131,2018-09-12,8.63
132,2018-09-11,8.20
133,2018-09-10,8.25
134,2018-09-07,8.40
135,2018-09-06,8.50
136,2018-09-05,8.48
137,2018-09-04,8.45
138,2018-08-31,8.84
139,2018-08-30,8.85
140,2018-08-29,9.04
141,2018-08-28,8.95
142,2018-08-27,9.25
143,2018-08-24,9.03
144,2018-08-23,8.66
145,2018-08-22,9.00
146,2018-08-21,8.96
147,2018-08-20,8.82
148,2018-08-17,8.82
149,2018-08-16,8.50
150,2018-08-15,8.60
151,2018-08-14,9.11
152,2018-08-13,9.19
153,2018-08-10,9.57
154,2018-08-09,9.70
155,2018-08-08,9.42
156,2018-08-07,9.51
157,2018-08-06,9.68
158,2018-08-03,9.76
159,2018-08-02,9.65
160,2018-08-01,9.90
161,2018-07-31,10.10
162,2018-07-30,9.98
163,2018-07-27,10.08
164,2018-07-26,10.15
165,2018-07-25,10.43
166,2018-07-24,10.33
167,2018-07-23,10.21
168,2018-07-20,10.31
169,2018-07-19,10.18
170,2018-07-18,10.31
171,2018-07-17,10.26
172,2018-07-16,10.32
173,2018-07-13,10.49
174,2018-07-12,10.50
175,2018-07-11,10.45
176,2018-07-10,10.94
177,2018-07-09,10.97
178,2018-07-06,10.90
179,2018-07-05,10.89
180,2018-07-03,10.79
181,2018-07-02,10.52
182,2018-06-29,10.58
183,2018-06-28,10.53
184,2018-06-27,10.61
185,2018-06-26,10.70
186,2018-06-25,10.78
187,2018-06-22,11.01
188,2018-06-21,10.82
189,2018-06-20,10.85
190,2018-06-19,10.85
191,2018-06-18,10.94
192,2018-06-15,10.85
