,Date,NAV
1,2019-03-21,62.25
2,2019-03-20,62.29
3,2019-03-19,62.29
4,2019-03-18,61.96
5,2019-03-15,61.21
6,2019-03-14,59.34
7,2019-03-13,59.40
8,2019-03-12,57.94
9,2019-03-11,58.02
10,2019-03-08,56.54
11,2019-03-07,56.66
12,2019-03-06,59.02
13,2019-03-05,59.45
14,2019-03-04,59.13
15,2019-03-01,59.78
16,2019-02-28,58.83
17,2019-02-27,59.21
18,2019-02-26,60.05
19,2019-02-25,59.13
20,2019-02-22,58.60
21,2019-02-21,58.00
22,2019-02-20,58.42
23,2019-02-19,57.94
24,2019-02-15,57.13
25,2019-02-14,54.98
26,2019-02-13,55.02
27,2019-02-12,54.84
28,2019-02-11,52.94
29,2019-02-08,53.11
30,2019-02-07,53.79
31,2019-02-06,55.89
32,2019-02-05,56.79
33,2019-02-04,55.55
34,2019-02-01,55.02
35,2019-01-31,55.15
36,2019-01-30,55.05
37,2019-01-29,53.47
38,2019-01-28,53.03
39,2019-01-25,53.77
40,2019-01-24,52.18
41,2019-01-23,51.85
42,2019-01-22,51.19
43,2019-01-18,53.68
44,2019-01-17,51.98
45,2019-01-16,51.71
46,2019-01-15,51.18
47,2019-01-14,50.37
48,2019-01-11,51.14
49,2019-01-10,52.17
50,2019-01-09,51.49
51,2019-01-08,49.97
52,2019-01-07,49.03
53,2019-01-04,48.60
54,2019-01-03,44.59
55,2019-01-02,45.64
56,2018-12-31,45.79
57,2018-12-28,45.80
58,2018-12-27,44.99
59,2018-12-26,44.75
60,2018-12-24,41.75
61,2018-12-21,43.34
62,2018-12-20,45.64
63,2018-12-19,46.25
64,2018-12-18,47.64
65,2018-12-17,47.55
66,2018-12-14,48.68
67,2018-12-13,50.77
68,2018-12-12,51.07
69,2018-12-11,48.86
70,2018-12-10,48.44
71,2018-12-07,49.81
72,2018-12-06,51.21
73,2018-12-04,52.74
74,2018-12-03,56.98
75,2018-11-30,54.80
76,2018-11-29,55.76
77,2018-11-28,56.38
78,2018-11-27,53.71
79,2018-11-26,54.90
80,2018-11-23,52.67
81,2018-11-21,53.63
82,2018-11-20,51.48
83,2018-11-19,54.26
84,2018-11-16,54.95
85,2018-11-15,55.67
86,2018-11-14,55.60
87,2018-11-13,54.90
88,2018-11-12,54.59
89,2018-11-09,56.85
90,2018-11-08,59.03
91,2018-11-07,59.89
92,2018-11-06,57.20
93,2018-11-05,57.14
94,2018-11-02,57.07
95,2018-11-01,56.85
96,2018-10-31,54.91
97,2018-10-30,53.20
98,2018-10-29,50.88
99,2018-10-26,52.22
100,2018-10-25,53.63
101,2018-10-24,51.61
102,2018-10-23,54.41
103,2018-10-22,58.00
104,2018-10-19,58.69
105,2018-10-18,57.69
106,2018-10-17,60.81
107,2018-10-16,61.83
108,2018-10-15,58.82
109,2018-10-12,59.07
110,2018-10-11,58.89
111,2018-10-10,61.02
112,2018-10-09,65.26
113,2018-10-08,65.73
114,2018-10-05,66.02
115,2018-10-04,67.30
116,2018-10-03,71.09
117,2018-10-02,70.53
118,2018-10-01,72.06
119,2018-09-28,71.72
120,2018-09-27,73.91
121,2018-09-26,74.67
122,2018-09-25,74.29
123,2018-09-24,73.04
124,2018-09-21,74.07
125,2018-09-20,73.94
126,2018-09-19,71.41
127,2018-09-18,70.54
128,2018-09-17,68.67
129,2018-09-14,68.26
130,2018-09-13,67.73
131,2018-09-12,66.50
132,2018-09-11,65.65
133,2018-09-10,65.25
134,2018-09-07,64.02
135,2018-09-06,65.71
136,2018-09-05,66.52
137,2018-09-04,68.33
138,2018-08-31,70.08
139,2018-08-30,72.29
140,2018-08-29,73.77
141,2018-08-28,73.09
142,2018-08-27,73.17
143,2018-08-24,70.32
144,2018-08-23,69.31
145,2018-08-22,70.66
146,2018-08-21,69.93
147,2018-08-20,67.54
148,2018-08-17,67.54
149,2018-08-16,66.35
150,2018-08-15,65.08
151,2018-08-14,67.96
152,2018-08-13,67.77
153,2018-08-10,68.99
154,2018-08-09,73.38
155,2018-08-08,73.98
156,2018-08-07,73.98
157,2018-08-06,72.26
158,2018-08-03,73.20
159,2018-08-02,72.89
160,2018-08-01,74.84
161,2018-07-31,75.79
162,2018-07-30,75.90
163,2018-07-27,75.71
164,2018-07-26,75.13
165,2018-07-25,76.52
166,2018-07-24,74.75
167,2018-07-23,73.43
168,2018-07-20,73.40
169,2018-07-19,71.85
170,2018-07-18,72.60
171,2018-07-17,72.85
172,2018-07-16,72.07
173,2018-07-13,71.92
174,2018-07-12,71.92
175,2018-07-11,70.12
176,2018-07-10,74.30
177,2018-07-09,73.93
178,2018-07-06,72.42
179,2018-07-05,71.08
180,2018-07-03,69.22
181,2018-07-02,68.56
182,2018-06-29,70.36
183,2018-06-28,68.91
184,2018-06-27,68.48
185,2018-06-26,70.04
186,2018-06-25,70.04
187,2018-06-22,73.32
188,2018-06-21,70.99
189,2018-06-20,72.26
190,2018-06-19,72.16
191,2018-06-18,74.37
192,2018-06-15,75.84
193,2018-06-14,77.40
194,2018-06-13,77.72
195,2018-06-12,77.25
196,2018-06-11,79.22
197,2018-06-08,77.50
198,2018-06-07,77.37
199,2018-06-06,78.49
200,2018-06-05,76.59
201,2018-06-04,76.96
202,2018-06-01,76.09
203,2018-05-31,74.72
204,2018-05-30,75.53
205,2018-05-29,72.63
206,2018-05-25,77.18
207,2018-05-24,78.81
208,2018-05-23,79.66
209,2018-05-22,82.28
210,2018-05-21,82.40
211,2018-05-18,81.49
212,2018-05-17,81.49
213,2018-05-16,81.73
214,2018-05-15,81.12
215,2018-05-14,83.18
216,2018-05-11,82.59
217,2018-05-10,81.98
218,2018-05-09,80.54
219,2018-05-08,79.90
220,2018-05-07,79.95
221,2018-05-04,79.86
222,2018-05-03,77.45
223,2018-05-02,78.38
224,2018-05-01,78.41
225,2018-04-30,79.34
226,2018-04-27,80.17
227,2018-04-26,78.78
228,2018-04-25,78.78
229,2018-04-24,79.24
230,2018-04-23,80.11
231,2018-04-20,80.42
232,2018-04-19,81.17
233,2018-04-18,82.48
234,2018-04-17,81.59
235,2018-04-16,80.17
236,2018-04-13,79.97
237,2018-04-12,79.57
238,2018-04-11,78.70
239,2018-04-10,80.08
240,2018-04-09,77.43
241,2018-04-06,75.38
242,2018-04-05,76.88
243,2018-04-04,75.29
244,2018-04-03,74.57
245,2018-04-02,72.27
246,2018-03-29,76.54
247,2018-03-28,74.30
248,2018-03-27,72.64
249,2018-03-26,74.82
250,2018-03-23,70.89
251,2018-03-22,73.87
252,2018-03-21,77.81
253,2018-03-20,77.78
254,2018-03-19,77.03
255,2018-03-16,79.54
256,2018-03-15,79.66
257,2018-03-14,79.58
258,2018-03-13,78.80
259,2018-03-12,80.91
260,2018-03-09,80.29
261,2018-03-08,79.08
262,2018-03-07,78.60
263,2018-03-06,78.57
264,2018-03-05,77.13
265,2018-03-02,76.14
266,2018-03-01,75.05
267,2018-02-28,78.76
268,2018-02-27,81.33
269,2018-02-26,84.89
270,2018-02-23,82.71
271,2018-02-22,81.74
272,2018-02-21,80.68
273,2018-02-20,80.94
274,2018-02-16,83.53
275,2018-02-15,82.35
276,2018-02-14,80.72
277,2018-02-13,76.56
278,2018-02-12,77.31
279,2018-02-09,73.90
280,2018-02-08,73.15
281,2018-02-07,79.80
282,2018-02-06,81.26
283,2018-02-05,77.02
284,2018-02-02,88.43
285,2018-02-01,94.21
286,2018-01-31,93.48
287,2018-01-30,93.86
288,2018-01-29,96.18
289,2018-01-26,98.91
290,2018-01-25,96.59
291,2018-01-24,97.96
292,2018-01-23,97.18
293,2018-01-22,96.25
294,2018-01-19,94.72
295,2018-01-18,93.26
296,2018-01-17,94.11
297,2018-01-16,92.65
298,2018-01-12,92.67
299,2018-01-11,89.88
300,2018-01-10,88.31
301,2018-01-09,88.68
302,2018-01-08,88.40
303,2018-01-05,88.51
304,2018-01-04,86.79
305,2018-01-03,84.31
306,2018-01-02,83.02
307,2017-12-29,81.20
308,2017-12-28,81.13
309,2017-12-27,80.96
310,2017-12-26,80.33
311,2017-12-22,80.39
312,2017-12-21,80.05
313,2017-12-20,79.60
314,2017-12-19,79.80
315,2017-12-18,80.50
316,2017-12-15,77.76
317,2017-12-14,77.85
318,2017-12-13,79.10
319,2017-12-12,78.30
320,2017-12-11,77.99
321,2017-12-08,77.32
322,2017-12-07,76.17
323,2017-12-06,75.93
324,2017-12-05,76.27
325,2017-12-04,76.62
326,2017-12-01,76.84
327,2017-11-30,78.47
328,2017-11-29,78.52
329,2017-11-28,79.13
330,2017-11-27,77.89
331,2017-11-24,79.20
332,2017-11-22,77.39
333,2017-11-21,76.75
334,2017-11-20,75.23
335,2017-11-17,74.90
336,2017-11-16,75.51
337,2017-11-15,73.47
338,2017-11-14,74.77
339,2017-11-13,74.69
340,2017-11-10,75.88
341,2017-11-09,75.91
342,2017-11-08,77.97
343,2017-11-07,77.12
344,2017-11-06,78.10
345,2017-11-03,77.56
346,2017-11-02,77.66
347,2017-11-01,77.54
348,2017-10-31,77.02
349,2017-10-30,76.15
350,2017-10-27,75.76
351,2017-10-26,75.24
352,2017-10-25,75.14
353,2017-10-24,76.13
354,2017-10-23,75.68
355,2017-10-20,76.24
356,2017-10-19,76.47
357,2017-10-18,77.03
358,2017-10-17,76.25
359,2017-10-16,76.98
360,2017-10-13,77.22
361,2017-10-12,76.24
362,2017-10-11,76.20
363,2017-10-10,75.64
364,2017-10-09,73.89
365,2017-10-06,73.55
366,2017-10-05,73.73
367,2017-10-04,73.77
368,2017-10-03,74.17
369,2017-10-02,73.65
370,2017-09-29,73.81
371,2017-09-28,72.48
372,2017-09-27,72.16
373,2017-09-26,71.29
374,2017-09-25,72.34
375,2017-09-22,73.39
376,2017-09-21,72.89
377,2017-09-20,72.13
378,2017-09-19,73.86
379,2017-09-18,72.85
380,2017-09-15,72.24
381,2017-09-14,72.15
382,2017-09-13,72.03
383,2017-09-12,73.11
384,2017-09-11,72.48
385,2017-09-08,70.81
386,2017-09-07,70.71
387,2017-09-06,69.50
388,2017-09-05,67.84
389,2017-09-01,69.29
390,2017-08-31,69.24
391,2017-08-30,67.52
392,2017-08-29,68.04
393,2017-08-28,68.68
394,2017-08-25,69.11
395,2017-08-24,67.52
396,2017-08-23,67.91
397,2017-08-22,66.90
398,2017-08-21,66.90
399,2017-08-18,67.06
400,2017-08-17,66.75
401,2017-08-16,68.84
402,2017-08-15,67.77
403,2017-08-14,68.02
404,2017-08-11,66.81
405,2017-08-10,66.87
406,2017-08-09,69.73
407,2017-08-08,70.48
408,2017-08-07,71.09
409,2017-08-04,70.87
410,2017-08-03,70.94
411,2017-08-02,70.90
412,2017-08-01,70.90
413,2017-07-31,69.46
414,2017-07-28,69.08
415,2017-07-27,68.91
416,2017-07-26,69.38
417,2017-07-25,68.28
418,2017-07-24,67.80
419,2017-07-21,68.25
420,2017-07-20,69.24
421,2017-07-19,68.41
422,2017-07-18,67.51
423,2017-07-17,67.26
424,2017-07-14,67.65
425,2017-07-13,66.44
426,2017-07-12,65.94
427,2017-07-11,64.19
428,2017-07-10,63.80
429,2017-07-07,63.74
430,2017-07-06,63.24
431,2017-07-05,63.95
432,2017-07-03,64.55
433,2017-06-30,64.54
434,2017-06-29,64.44
435,2017-06-28,66.19
436,2017-06-27,64.98
437,2017-06-26,65.00
438,2017-06-23,64.42
439,2017-06-22,64.02
440,2017-06-21,63.81
441,2017-06-20,63.96
442,2017-06-19,65.71
443,2017-06-16,65.05
444,2017-06-15,63.49
445,2017-06-14,65.65
446,2017-06-13,65.62
447,2017-06-12,64.25
448,2017-06-09,64.57
449,2017-06-08,65.62
450,2017-06-07,66.12
451,2017-06-06,66.01
452,2017-06-05,66.57
453,2017-06-02,67.64
454,2017-06-01,65.62
455,2017-05-31,64.29
456,2017-05-30,64.07
457,2017-05-26,63.94
458,2017-05-25,64.90
