,Date,NAV
1,2019-03-21,16.94
2,2019-03-20,17.09
3,2019-03-19,16.99
4,2019-03-18,16.91
5,2019-03-15,17.05
6,2019-03-14,16.98
7,2019-03-13,16.98
8,2019-03-12,16.59
9,2019-03-11,16.72
10,2019-03-08,16.52
11,2019-03-07,16.66
12,2019-03-06,16.73
13,2019-03-05,16.73
14,2019-03-04,16.77
15,2019-03-01,16.77
16,2019-02-28,16.92
17,2019-02-27,16.83
18,2019-02-26,16.72
19,2019-02-25,16.91
20,2019-02-22,16.91
21,2019-02-21,16.84
22,2019-02-20,16.87
23,2019-02-19,16.79
24,2019-02-15,16.48
25,2019-02-14,16.43
26,2019-02-13,16.61
27,2019-02-12,16.43
28,2019-02-11,16.46
29,2019-02-08,16.52
30,2019-02-07,16.46
31,2019-02-06,16.90
32,2019-02-05,16.90
33,2019-02-04,16.81
34,2019-02-01,16.91
35,2019-01-31,16.92
36,2019-01-30,16.76
37,2019-01-29,16.82
38,2019-01-28,16.68
39,2019-01-25,16.75
40,2019-01-24,16.58
41,2019-01-23,16.62
42,2019-01-22,16.53
43,2019-01-18,16.51
44,2019-01-17,16.57
45,2019-01-16,16.62
46,2019-01-15,16.50
47,2019-01-14,16.37
48,2019-01-11,16.56
49,2019-01-10,16.34
50,2019-01-09,16.43
51,2019-01-08,16.11
52,2019-01-07,16.11
53,2019-01-04,16.14
54,2019-01-03,15.73
55,2019-01-02,15.61
56,2018-12-31,15.81
57,2018-12-28,15.79
58,2018-12-27,15.33
59,2018-12-26,15.55
60,2018-12-24,15.48
61,2018-12-21,15.50
62,2018-12-20,15.55
63,2018-12-19,15.64
64,2018-12-18,15.92
65,2018-12-17,16.03
66,2018-12-14,15.85
67,2018-12-13,16.02
68,2018-12-12,16.21
69,2018-12-11,15.81
70,2018-12-10,16.01
71,2018-12-07,16.01
72,2018-12-06,16.01
73,2018-12-04,16.15
74,2018-12-03,16.26
75,2018-11-30,16.45
76,2018-11-29,16.44
77,2018-11-28,16.44
78,2018-11-27,16.40
79,2018-11-26,16.29
80,2018-11-23,16.27
81,2018-11-21,16.27
82,2018-11-20,16.17
83,2018-11-19,16.07
84,2018-11-16,16.04
85,2018-11-15,16.04
86,2018-11-14,16.11
87,2018-11-13,16.05
88,2018-11-12,16.18
89,2018-11-09,16.21
90,2018-11-08,16.22
91,2018-11-07,16.21
92,2018-11-06,16.05
93,2018-11-05,16.05
94,2018-11-02,15.97
95,2018-11-01,15.97
96,2018-10-31,16.01
97,2018-10-30,15.84
98,2018-10-29,15.69
99,2018-10-26,15.91
100,2018-10-25,15.95
101,2018-10-24,15.83
102,2018-10-23,16.05
103,2018-10-22,16.14
104,2018-10-19,16.23
105,2018-10-18,16.42
106,2018-10-17,16.42
107,2018-10-16,16.51
108,2018-10-15,16.20
109,2018-10-12,16.08
110,2018-10-11,16.27
111,2018-10-10,16.29
112,2018-10-09,16.74
113,2018-10-08,16.51
114,2018-10-05,16.97
115,2018-10-04,16.97
116,2018-10-03,16.97
117,2018-10-02,16.98
118,2018-10-01,16.84
119,2018-09-28,16.84
120,2018-09-27,16.84
121,2018-09-26,17.02
122,2018-09-25,17.08
123,2018-09-24,17.08
124,2018-09-21,17.28
125,2018-09-20,17.29
126,2018-09-19,17.14
127,2018-09-18,16.93
128,2018-09-17,16.93
129,2018-09-14,17.02
130,2018-09-13,16.83
131,2018-09-12,16.99
132,2018-09-11,16.80
133,2018-09-10,16.65
134,2018-09-07,16.42
135,2018-09-06,16.59
136,2018-09-05,16.44
137,2018-09-04,16.54
138,2018-08-31,16.78
139,2018-08-30,17.48
140,2018-08-29,17.48
141,2018-08-28,17.45
142,2018-08-27,17.39
143,2018-08-24,17.39
144,2018-08-23,17.28
145,2018-08-22,17.50
146,2018-08-21,17.29
147,2018-08-20,17.33
148,2018-08-17,17.20
149,2018-08-16,17.20
150,2018-08-15,17.11
151,2018-08-14,17.19
152,2018-08-13,17.20
153,2018-08-10,17.20
154,2018-08-09,17.46
155,2018-08-08,17.50
156,2018-08-07,17.51
157,2018-08-06,17.50
158,2018-08-03,17.48
159,2018-08-02,17.48
160,2018-08-01,17.52
161,2018-07-31,17.57
162,2018-07-30,17.65
163,2018-07-27,17.55
164,2018-07-26,17.46
165,2018-07-25,17.44
166,2018-07-24,17.39
167,2018-07-23,17.39
168,2018-07-20,17.51
169,2018-07-19,17.51
170,2018-07-18,17.51
171,2018-07-17,17.40
172,2018-07-16,17.52
173,2018-07-13,17.38
174,2018-07-12,17.42
175,2018-07-11,17.46
176,2018-07-10,17.52
177,2018-07-09,17.50
178,2018-07-06,17.53
179,2018-07-05,17.45
180,2018-07-03,17.24
181,2018-07-02,17.12
182,2018-06-29,17.23
183,2018-06-28,17.10
184,2018-06-27,17.14
185,2018-06-26,17.22
186,2018-06-25,17.15
187,2018-06-22,17.31
188,2018-06-21,17.14
189,2018-06-20,17.34
190,2018-06-19,17.36
191,2018-06-18,17.52
192,2018-06-15,17.78
193,2018-06-14,17.78
194,2018-06-13,17.58
195,2018-06-12,17.62
196,2018-06-11,17.71
197,2018-06-08,17.70
198,2018-06-07,17.68
199,2018-06-06,18.16
200,2018-06-05,17.75
201,2018-06-04,17.91
202,2018-06-01,17.67
203,2018-05-31,17.86
204,2018-05-30,17.85
205,2018-05-29,17.91
206,2018-05-25,17.82
207,2018-05-24,18.08
208,2018-05-23,-
209,2018-05-22,-
210,2018-05-21,-
211,2018-05-18,-
212,2018-05-17,-
213,2018-05-16,-
214,2018-05-15,-
215,2018-05-14,-
216,2018-05-11,-
217,2018-05-10,-
218,2018-05-09,-
219,2018-05-08,-
220,2018-05-07,-
221,2018-05-04,-
222,2018-05-03,-
223,2018-05-02,-
224,2018-05-01,-
225,2018-04-30,-
226,2018-01-31,"2,400.00"
227,2018-01-30,"2,400.00"
228,2018-01-29,-
229,2018-01-26,"2,400.00"
230,2018-01-25,-
231,2018-01-24,-
232,2018-01-23,"2,600.00"
233,2018-01-22,"2,600.00"
234,2018-01-19,"2,600.00"
235,2018-01-18,"2,800.00"
236,2018-01-17,"2,800.00"
237,2018-01-16,"2,800.00"
238,2018-01-12,"2,800.00"
239,2018-01-11,"2,600.00"
240,2018-01-10,"2,600.00"
241,2018-01-09,-
242,2018-01-08,"2,600.00"
243,2018-01-05,"2,600.00"
244,2018-01-04,"2,400.00"
245,2018-01-03,"2,400.00"
246,2018-01-02,"2,400.00"
247,2017-12-29,"2,400.00"
248,2017-12-28,"2,200.00"
249,2017-12-27,"2,200.00"
250,2017-12-26,"2,200.00"
251,2017-12-22,"2,200.00"
252,2017-12-21,"2,000.00"
253,2017-12-20,"2,000.00"
254,2017-12-19,"2,000.00"
255,2017-12-18,"2,000.00"
256,2017-12-15,"2,000.00"
257,2017-12-14,"1,900.00"
258,2017-12-13,"1,900.00"
259,2017-12-12,"1,900.00"
260,2017-12-11,"1,900.00"
261,2017-12-08,"1,900.00"
262,2017-12-07,"1,800.00"
263,2017-12-06,"1,800.00"
264,2017-12-05,"1,800.00"
265,2017-12-04,"1,800.00"
266,2017-12-01,"1,800.00"
267,2017-11-30,"1,700.00"
268,2017-11-29,"1,700.00"
269,2017-11-28,"1,700.00"
270,2017-11-27,"1,700.00"
271,2017-11-24,"1,700.00"
272,2017-11-22,"1,600.00"
273,2017-11-21,"1,600.00"
274,2017-11-20,"1,600.00"
275,2017-11-17,"1,600.00"
276,2017-11-16,"1,500.00"
277,2017-11-15,"1,500.00"
278,2017-11-14,"1,500.00"
279,2017-11-13,"1,500.00"
280,2017-11-10,"1,500.00"
281,2017-11-09,"1,600.00"
282,2017-11-08,"1,600.00"
283,2017-11-07,"1,600.00"
284,2017-11-06,"1,600.00"
285,2017-11-03,"1,600.00"
286,2017-11-02,"1,600.00"
287,2017-11-01,"1,600.00"
288,2017-10-31,"1,600.00"
289,2017-10-30,"1,600.00"
290,2017-10-27,"1,600.00"
291,2017-10-26,"1,500.00"
292,2017-10-25,"1,500.00"
293,2017-10-24,"1,500.00"
294,2017-10-23,"1,500.00"
295,2017-10-20,"1,500.00"
296,2017-10-19,"1,500.00"
297,2017-10-18,"1,500.00"
298,2017-10-17,"1,500.00"
299,2017-10-16,"1,500.00"
300,2017-10-13,"1,500.00"
301,2017-10-12,"1,600.00"
302,2017-10-11,"1,600.00"
303,2017-10-10,"1,600.00"
304,2017-10-09,"1,600.00"
305,2017-10-06,-
306,2017-10-05,"1,700.00"
307,2017-10-04,"1,700.00"
308,2017-10-03,"1,700.00"
309,2017-10-02,"1,700.00"
310,2017-09-29,"1,700.00"
311,2017-09-28,"1,700.00"
312,2017-09-27,"1,700.00"
313,2017-09-26,"1,700.00"
314,2017-09-25,"1,700.00"
315,2017-09-22,"1,700.00"
316,2017-09-21,"1,600.00"
317,2017-09-20,"1,600.00"
318,2017-09-19,"1,600.00"
319,2017-09-18,"1,600.00"
320,2017-09-15,"1,600.00"
321,2017-09-14,"1,500.00"
322,2017-09-13,"1,500.00"
323,2017-09-12,"1,500.00"
324,2017-09-11,"1,500.00"
325,2017-09-08,"1,500.00"
326,2017-09-07,"1,400.00"
327,2017-09-06,"1,400.00"
328,2017-09-05,"1,400.00"
329,2017-09-01,"1,400.00"
330,2017-08-31,"1,500.00"
331,2017-08-30,"1,456.23"
332,2017-08-29,"1,456.23"
333,2017-08-28,"1,456.23"
334,2017-08-25,"1,456.23"
335,2017-08-24,"1,553.31"
336,2017-08-23,"1,553.31"
337,2017-08-22,"1,553.31"
338,2017-08-21,"1,553.31"
339,2017-08-18,"1,553.31"
340,2017-08-17,"1,650.40"
341,2017-08-16,"1,650.40"
342,2017-08-15,"1,650.40"
343,2017-08-14,"1,650.40"
344,2017-08-11,"1,650.40"
345,2017-08-10,"1,747.48"
346,2017-08-09,"1,747.48"
347,2017-08-08,"1,747.48"
348,2017-08-07,"1,747.48"
349,2017-08-04,"1,747.48"
350,2017-08-03,"1,747.48"
351,2017-08-02,"1,747.48"
352,2017-08-01,"1,747.48"
353,2017-07-31,"1,747.48"
354,2017-07-28,"1,747.48"
355,2017-07-27,"1,747.48"
356,2017-07-26,"1,747.48"
357,2017-07-25,"1,747.48"
358,2017-07-24,"1,747.48"
359,2017-07-21,"1,747.48"
360,2017-07-20,"1,747.48"
361,2017-07-19,"1,747.48"
362,2017-07-18,"1,747.48"
363,2017-07-17,"1,747.48"
364,2017-07-14,"1,747.48"
365,2017-07-13,"1,747.48"
366,2017-07-12,"1,747.48"
367,2017-07-11,"1,747.48"
368,2017-07-10,"1,747.48"
369,2017-07-07,"1,747.48"
370,2017-07-06,"1,747.48"
371,2017-07-05,"1,747.48"
372,2017-07-03,"1,747.48"
373,2017-06-30,"1,747.48"
374,2017-06-29,"1,553.31"
375,2017-06-28,"1,553.31"
376,2017-06-27,"1,553.31"
377,2017-06-26,"1,553.31"
378,2017-06-23,-
379,2017-06-22,"1,553.31"
380,2017-06-21,"1,553.31"
381,2017-06-20,"1,553.31"
382,2017-06-19,"1,553.31"
383,2017-06-16,"1,553.31"
384,2017-06-15,"1,553.31"
385,2017-06-14,"1,553.31"
386,2017-06-13,"1,553.31"
387,2017-06-12,"1,553.31"
388,2017-06-09,"1,553.31"
389,2017-06-08,"1,553.31"
390,2017-06-07,"1,553.31"
391,2017-06-06,"1,553.31"
392,2017-06-05,"1,553.31"
