,Date,NAV
1,2019-03-21,50.60
2,2019-03-20,50.61
3,2019-03-19,50.87
4,2019-03-18,51.15
5,2019-03-15,50.98
6,2019-03-14,50.65
7,2019-03-13,50.56
8,2019-03-12,50.62
9,2019-03-11,50.45
10,2019-03-08,49.98
11,2019-03-07,50.24
12,2019-03-06,51.02
13,2019-03-05,51.15
14,2019-03-04,51.07
15,2019-03-01,51.26
16,2019-02-28,50.96
17,2019-02-27,50.81
18,2019-02-26,51.10
19,2019-02-25,50.96
20,2019-02-22,50.64
21,2019-02-21,50.15
22,2019-02-20,50.44
23,2019-02-19,50.04
24,2019-02-15,49.42
25,2019-02-14,49.03
26,2019-02-13,48.80
27,2019-02-12,48.71
28,2019-02-11,48.05
29,2019-02-08,48.13
30,2019-02-07,48.44
31,2019-02-06,49.64
32,2019-02-05,49.77
33,2019-02-04,49.50
34,2019-02-01,49.15
35,2019-01-31,49.34
36,2019-01-30,49.54
37,2019-01-29,49.18
38,2019-01-28,49.10
39,2019-01-25,49.71
40,2019-01-24,49.18
41,2019-01-23,48.59
42,2019-01-22,49.59
43,2019-01-18,49.59
44,2019-01-17,48.34
45,2019-01-16,48.49
46,2019-01-15,48.54
47,2019-01-14,48.44
48,2019-01-11,48.63
49,2019-01-10,48.95
50,2019-01-09,48.44
51,2019-01-08,48.21
52,2019-01-07,47.94
53,2019-01-04,45.86
54,2019-01-03,45.86
55,2019-01-02,46.04
56,2018-12-31,45.93
57,2018-12-28,45.78
58,2018-12-27,45.43
59,2018-12-26,45.17
60,2018-12-24,43.71
61,2018-12-21,44.15
62,2018-12-20,45.24
63,2018-12-19,45.46
64,2018-12-18,46.12
65,2018-12-17,46.19
66,2018-12-14,46.67
67,2018-12-13,47.49
68,2018-12-12,47.28
69,2018-12-11,46.36
70,2018-12-10,46.48
71,2018-12-07,46.86
72,2018-12-06,47.95
73,2018-12-04,48.41
74,2018-12-03,50.16
75,2018-11-30,50.00
76,2018-11-29,50.13
77,2018-11-28,50.24
78,2018-11-27,49.87
79,2018-11-26,49.91
80,2018-11-23,49.27
81,2018-11-21,49.48
82,2018-11-20,48.92
83,2018-11-19,49.82
84,2018-11-16,50.72
85,2018-11-15,49.96
86,2018-11-14,49.96
87,2018-11-13,49.96
88,2018-11-12,50.27
89,2018-11-09,51.11
90,2018-11-08,51.87
91,2018-11-07,52.54
92,2018-11-06,51.64
93,2018-11-05,51.43
94,2018-11-02,51.02
95,2018-11-01,50.83
96,2018-10-31,50.03
97,2018-10-30,50.26
98,2018-10-29,49.38
99,2018-10-26,49.49
100,2018-10-25,49.87
101,2018-10-24,50.41
102,2018-10-23,50.74
103,2018-10-22,51.96
104,2018-10-19,52.15
105,2018-10-18,52.34
106,2018-10-17,53.58
107,2018-10-16,53.58
108,2018-10-15,52.61
109,2018-10-12,52.81
110,2018-10-11,52.82
111,2018-10-10,54.07
112,2018-10-09,55.54
113,2018-10-08,55.56
114,2018-10-05,55.65
115,2018-10-04,55.97
116,2018-10-03,56.63
117,2018-10-02,56.35
118,2018-10-01,56.72
119,2018-09-28,56.59
120,2018-09-27,56.89
121,2018-09-26,57.27
122,2018-09-25,57.30
123,2018-09-24,57.21
124,2018-09-21,57.47
125,2018-09-20,57.29
126,2018-09-19,56.67
127,2018-09-18,56.56
128,2018-09-17,55.85
129,2018-09-14,55.90
130,2018-09-13,55.76
131,2018-09-12,55.31
132,2018-09-11,54.81
133,2018-09-10,54.83
134,2018-09-07,54.27
135,2018-09-06,54.48
136,2018-09-05,54.28
137,2018-09-04,54.56
138,2018-08-31,55.39
139,2018-08-30,55.33
140,2018-08-29,55.41
141,2018-08-28,55.19
142,2018-08-27,55.34
143,2018-08-24,54.87
144,2018-08-23,54.82
145,2018-08-22,55.08
146,2018-08-21,54.79
147,2018-08-20,54.23
148,2018-08-17,54.06
149,2018-08-16,53.60
150,2018-08-15,53.44
151,2018-08-14,54.44
152,2018-08-13,54.16
153,2018-08-10,55.16
154,2018-08-09,55.58
155,2018-08-08,55.83
156,2018-08-07,56.07
157,2018-08-06,55.61
158,2018-08-03,56.08
159,2018-08-02,56.05
160,2018-08-01,56.28
161,2018-07-31,56.72
162,2018-07-30,56.72
163,2018-07-27,56.63
164,2018-07-26,56.79
165,2018-07-25,55.87
166,2018-07-24,55.87
167,2018-07-23,55.23
168,2018-07-20,55.31
169,2018-07-19,55.02
170,2018-07-18,55.16
171,2018-07-17,55.16
172,2018-07-16,55.16
173,2018-07-13,55.39
174,2018-07-12,55.22
175,2018-07-11,55.38
176,2018-07-10,55.87
177,2018-07-09,55.87
178,2018-07-06,55.12
179,2018-07-05,54.80
180,2018-07-03,54.39
181,2018-07-02,54.34
182,2018-06-29,55.65
183,2018-06-28,55.00
184,2018-06-27,55.25
