,Date,NAV
1,2019-03-21,12.30
2,2019-03-20,12.20
3,2019-03-19,12.78
4,2019-03-18,12.84
5,2019-03-15,12.59
6,2019-03-14,12.61
7,2019-03-13,12.01
8,2019-03-12,12.16
9,2019-03-11,12.66
10,2019-03-08,12.54
11,2019-03-07,13.25
12,2019-03-06,13.59
13,2019-03-05,13.11
14,2019-03-04,13.24
15,2019-03-01,13.36
16,2019-02-28,12.72
17,2019-02-27,12.60
18,2019-02-26,12.22
19,2019-02-25,12.14
20,2019-02-22,11.87
21,2019-02-21,11.95
22,2019-02-20,11.55
23,2019-02-19,11.81
24,2019-02-15,12.60
25,2019-02-14,12.91
26,2019-02-13,13.15
27,2019-02-12,13.02
28,2019-02-11,12.95
29,2019-02-08,12.65
30,2019-02-07,13.04
31,2019-02-06,12.82
32,2019-02-05,12.49
33,2019-02-04,12.59
34,2019-02-01,12.47
35,2019-01-31,12.37
36,2019-01-30,12.94
37,2019-01-29,13.21
38,2019-01-28,13.82
39,2019-01-25,14.17
40,2019-01-24,15.20
41,2019-01-23,15.20
42,2019-01-22,15.26
43,2019-01-18,15.46
44,2019-01-17,14.97
45,2019-01-16,15.05
46,2019-01-15,15.02
47,2019-01-14,14.60
48,2019-01-11,14.36
49,2019-01-10,14.47
50,2019-01-09,14.03
51,2019-01-08,14.48
52,2019-01-07,14.40
53,2019-01-04,14.10
54,2019-01-03,13.86
55,2019-01-02,14.49
56,2018-12-31,14.37
57,2018-12-28,15.11
58,2018-12-27,14.57
59,2018-12-26,15.11
60,2018-12-24,14.48
61,2018-12-21,15.43
62,2018-12-20,15.04
63,2018-12-19,16.43
64,2018-12-18,14.93
65,2018-12-17,15.59
66,2018-12-14,16.33
67,2018-12-13,15.84
68,2018-12-12,15.87
69,2018-12-11,16.54
70,2018-12-10,16.36
71,2018-12-07,16.29
72,2018-12-06,17.15
73,2018-12-04,17.18
74,2018-12-03,17.58
75,2018-11-30,18.30
76,2018-11-29,18.08
77,2018-11-28,17.78
78,2018-11-27,18.74
79,2018-11-26,18.04
80,2018-11-23,17.78
81,2018-11-21,17.06
82,2018-11-20,17.96
83,2018-11-19,17.79
84,2018-11-16,17.68
85,2018-11-15,18.36
86,2018-11-14,18.93
87,2018-11-13,19.75
88,2018-11-12,19.33
89,2018-11-09,18.60
90,2018-11-08,17.99
91,2018-11-07,18.00
92,2018-11-06,17.82
93,2018-11-05,17.56
94,2018-11-02,17.46
95,2018-11-01,17.57
96,2018-10-31,18.86
97,2018-10-30,18.45
98,2018-10-29,18.66
99,2018-10-26,18.58
100,2018-10-25,18.89
101,2018-10-24,17.23
102,2018-10-23,16.80
103,2018-10-22,17.18
104,2018-10-19,16.94
105,2018-10-18,16.98
106,2018-10-17,17.10
107,2018-10-16,17.04
108,2018-10-15,16.79
109,2018-10-12,17.55
110,2018-10-11,17.13
111,2018-10-10,19.78
112,2018-10-09,20.29
113,2018-10-08,19.66
114,2018-10-05,19.74
115,2018-10-04,19.64
116,2018-10-03,19.56
117,2018-10-02,18.94
118,2018-10-01,20.15
119,2018-09-28,20.20
120,2018-09-27,20.50
121,2018-09-26,20.33
122,2018-09-25,19.47
123,2018-09-24,19.56
124,2018-09-21,19.74
125,2018-09-20,19.27
126,2018-09-19,19.66
127,2018-09-18,20.52
128,2018-09-17,20.49
129,2018-09-14,21.31
130,2018-09-13,21.23
131,2018-09-12,21.09
132,2018-09-11,22.48
133,2018-09-10,22.32
134,2018-09-07,21.72
135,2018-09-06,21.72
136,2018-09-05,21.73
137,2018-09-04,21.42
138,2018-08-31,20.18
139,2018-08-30,20.03
140,2018-08-29,19.42
141,2018-08-28,19.56
142,2018-08-27,18.78
143,2018-08-24,19.33
144,2018-08-23,20.64
145,2018-08-22,19.30
146,2018-08-21,19.57
147,2018-08-20,19.76
148,2018-08-17,20.01
149,2018-08-16,21.32
150,2018-08-15,20.38
151,2018-08-14,18.16
152,2018-08-13,17.76
153,2018-08-10,16.82
